drug_id	cluster	pc1	pc2
CHEMBL2105664	1	0.5122149	-0.22064783
CHEMBL712	13	0.4499864	-0.30002093
CHEMBL371405	15	0.22566384	-0.3009235
CHEMBL1201065	11	0.449947	-0.2705437
CHEMBL1200472	11	0.52404577	-0.10903692
CHEMBL646	11	0.44681108	-0.3621171
CHEMBL121	15	0.61373293	-0.48176336
CHEMBL932	19	0.3911715	-0.47151923
CHEMBL5315122	15	0.23794672	-0.31428766
CHEMBL4594304	11	0.35968986	-0.3810669
CHEMBL1703	15	0.22218364	-0.3525586
CHEMBL451887	15	0.26721317	-0.3649451
CHEMBL5314782	15	0.5940898	-0.34802255
CHEMBL519504	15	0.6374948	-0.2522454
CHEMBL1201013	17	0.70199525	-0.42977065
CHEMBL1200760	15	0.55298585	-0.39952472
CHEMBL4279455	15	0.2688157	-0.18211097
CHEMBL4297804	15	0.34127212	-0.20075884
CHEMBL501867	15	0.42331454	-0.26008844
CHEMBL312448	19	0.48471564	-0.42107868
CHEMBL2141296	15	0.31272572	-0.30001742
CHEMBL2146102	19	0.51469284	-0.46760425
CHEMBL3301583	13	0.32231283	-0.27070206
CHEMBL142635	19	0.6096818	-0.3633922
CHEMBL2105738	17	0.52942735	-0.18443042
CHEMBL2105705	17	0.6813027	-0.3084731
CHEMBL3219616	19	0.50391483	-0.033602506
CHEMBL1200666	17	0.7277001	-0.22350349
CHEMBL1256958	19	0.508723	-0.25045952
CHEMBL3559672	19	0.38116312	-0.3279413
CHEMBL2103829	19	0.6074236	-0.4323422
CHEMBL1201103	19	0.66140044	-0.39577612
CHEMBL4582651	13	0.4321831	-0.32369357
CHEMBL1834657	13	0.60941446	-0.43597022
CHEMBL3109738	13	0.62084067	-0.37508833
CHEMBL5723563	17	0.657328	-0.23718949
CHEMBL4297422	13	0.5350578	-0.17672104
CHEMBL1201733	13	0.4005821	-0.28735816
CHEMBL343448	15	0.35419503	-0.27962792
CHEMBL2107339	19	0.5913793	-0.30189097
CHEMBL2106710	19	0.63373464	-0.07687491
CHEMBL377300	13	0.65741163	-0.4956354
CHEMBL2103827	19	0.2877451	-0.32471412
CHEMBL1200560	19	0.5702785	-0.41154635
CHEMBL5314386	17	0.18555623	-0.2727123
CHEMBL2105635	19	0.779628	-0.39995846
CHEMBL2108785	15	0.18217546	-0.20411472
CHEMBL1743007	17	0.60602146	-0.1973916
CHEMBL803	15	0.1922639	-0.25644132
CHEMBL3545042	11	0.4037841	-0.42863774
CHEMBL3334824	19	0.48817742	-0.33762872
CHEMBL4297633	19	0.5853726	-0.3634081
CHEMBL1743000	15	0.2807356	-0.35764292
CHEMBL1230607	15	0.43506873	-0.38846323
CHEMBL1200963	17	0.68032783	-0.38656437
CHEMBL2355333	19	0.43519253	-0.41098723
CHEMBL3545236	13	0.6499194	-0.31839025
CHEMBL3545365	13	0.49354666	-0.28824198
CHEMBL2109250	13	0.53951544	-0.33815405
CHEMBL4650272	15	0.5615083	-0.23919277
CHEMBL123292	15	0.44925702	-0.34212667
CHEMBL1887891	19	0.45198357	-0.45938128
CHEMBL3647536	11	0.35170394	-0.04049954
CHEMBL220492	11	0.5399562	-0.3209295
CHEMBL3989724	11	0.45556402	-0.26971844
CHEMBL1200986	19	0.54529357	-0.12452623
CHEMBL1423	19	0.6223223	-0.29098368
CHEMBL3989694	19	0.5864658	-0.3274215
CHEMBL1522	11	0.5254608	-0.2108766
CHEMBL407	11	0.37441558	-0.26023555
CHEMBL1201532	19	0.6724144	-0.31426844
CHEMBL3828074	19	0.6188522	-0.20421578
CHEMBL5315053	17	0.4875371	-0.24627426
CHEMBL60889	19	0.6962174	-0.11419475
CHEMBL359164	15	0.4149169	-0.4001567
CHEMBL2109171	15	0.49835873	-0.37242222
CHEMBL2177390	15	0.3822648	-0.19311726
CHEMBL603469	13	0.5910676	-0.32299668
CHEMBL4297960	13	0.60130906	-0.5919812
CHEMBL2108790	15	0.2534783	-0.35870525
CHEMBL1779710	7	0.5040394	-0.11396071
CHEMBL2106227	11	0.45212418	-0.24681146
