drug_name	adverse_event	ror_female	ror_male	n_female	n_male	log_ratio	direction	fold_change
TESTOSTERONE	Prostatic disorder	7197.743364289007	1.0120965634092227	25	21	8.869498849549007	female_higher	7111.72
OXYCODONE	Infusion related reaction	11.609736242899936	0.04763299755065621	2523	10	5.49607360941596	female_higher	243.73
CLOZAPINE	Gynaecomastia	26.71927057842551	0.11506868836297991	11	31	5.447611088396968	female_higher	232.2
OXYCODONE	Pericarditis	51.534832042590615	0.23365073061746147	2508	11	5.396185812256093	female_higher	220.56
DUTASTERIDE	Product prescribing issue	566.6346585722184	3.4936803082535772	120	12	5.088759044734165	female_higher	162.19
OXYCODONE	Blister	14.535847531612431	0.09264738751517432	2917	19	5.055572366021432	female_higher	156.89
PREDNISONE	Duodenal ulcer perforation	283.75534336742595	2.2708671471864594	3339	10	4.827950638154627	female_higher	124.95
GOLIMUMAB	Pericarditis	177.3290446920552	1.4445244338204362	4061	11	4.810226860461381	female_higher	122.76
OXYCODONE	Impaired healing	27.424086962722992	0.22387856169532358	2933	22	4.808073222879093	female_higher	122.5
HYDROXYCHLOROQUINE	Pericarditis	215.8158028478241	1.830824144486692	4069	10	4.769659061626444	female_higher	117.88
METHOTREXATE	Glossodynia	60.67151337397821	0.5276266600313795	6104	14	4.744840614648506	female_higher	114.99
ADALIMUMAB	Pemphigus	87.41229443242847	0.761698219206178	6766	16	4.742840780858185	female_higher	114.76
PREDNISONE	Helicobacter infection	132.405447563103	1.1948197529564195	3295	12	4.707873447732176	female_higher	110.82
RITUXIMAB	Prescribed overdose	19.12117092984841	0.200235820747249	1278	12	4.559055650143672	female_higher	95.49
SIROLIMUS	Transplant dysfunction	2536.5928734259314	28.047196711424036	452	17	4.504688383143007	female_higher	90.44
XANTOFYL	Drug ineffective	353.25774611888596	3.96714372305574	362	33	4.489151578939397	female_higher	89.05
VITAMIN B9	Pericarditis	756.3131097375035	8.508065871982252	3491	12	4.4874408170897215	female_higher	88.89
OXYCODONE	Wheezing	6.829759446587097	0.07881011816888055	1532	18	4.462003340046337	female_higher	86.66
MINOXIDIL	Wrong patient received medication	795.4500988428833	9.194284389709777	1460	21	4.460326087507845	female_higher	86.52
SULFASALAZINE	Pericarditis	317.73482150594594	3.7144776023046018	4104	12	4.448979090470586	female_higher	85.54
CETIRIZINE	Hepatic enzyme increased	57.58370819238666	0.6843201718514779	3847	14	4.432569067188	female_higher	84.15
SECUKINUMAB	Infusion related reaction	7.367849636796762	0.08758040483405281	1982	11	4.432323886314812	female_higher	84.13
CETIRIZINE	Arthropathy	61.03861618084325	0.7417779308271217	4077	11	4.410212081234197	female_higher	82.29
VITAMIN B9	Wound	350.2743675657925	4.289786031220177	3728	12	4.402479899195807	female_higher	81.65
SULFAMETHOXAZOLE;TRIMETHOPRIM	Wound	49.15243818312817	0.6050491936684781	1499	10	4.397371964752235	female_higher	81.24
PREDNISONE	Glossodynia	105.07029953122964	1.310979960477835	6082	34	4.383854726486452	female_higher	80.15
METHOTREXATE	Pemphigus	258.3361872315266	3.265261749954674	6680	22	4.370921860017574	female_higher	79.12
INFLIXIMAB	Glossodynia	91.32761863146877	1.1610300126125446	5962	25	4.365145692995518	female_higher	78.66
OXYCODONE	Wound	22.663691144235106	0.2900420133836332	2434	27	4.358493627600622	female_higher	78.14
ETANERCEPT	Glossodynia	24.231984095168894	0.31294272910493304	6286	15	4.349408496657637	female_higher	77.43
OXYCODONE;PARACETAMOL	Hepatic enzyme increased	13.59553593593179	0.17626483241201982	1441	16	4.345509184155896	female_higher	77.13
RITUXIMAB	Obesity	27.35867718598779	0.3585009631422221	1172	20	4.334857675477055	female_higher	76.31
OXYCODONE	Synovitis	31.816069145418783	0.4249835815990399	2510	13	4.315676223529395	female_higher	74.86
GOLIMUMAB	Confusional state	8.878325332892011	0.12015137107316946	2867	14	4.302615856099923	female_higher	73.89
CETIRIZINE	General physical health deterioration	25.026016284010222	0.35968860993127155	2667	17	4.242432529375961	female_higher	69.58
SULFAMETHOXAZOLE;TRIMETHOPRIM	Discomfort	19.128581852731827	0.27533638504902674	1299	10	4.240945359071558	female_higher	69.47
HYDROCORTISONE	Arthropathy	51.63230190129952	0.7433314703872032	2102	10	4.240760691871515	female_higher	69.46
PREDNISONE	Irritable bowel syndrome	31.009348517852544	0.4489598150886344	2539	13	4.23511061804969	female_higher	69.07
DICLOFENAC	Injury	20.82709507886813	0.3017568071904906	2243	14	4.234388647238324	female_higher	69.02
LEFLUNOMIDE	Wound	107.0774947312372	1.5638084934439656	4919	13	4.2264286341653765	female_higher	68.47
OXYCODONE;PARACETAMOL	Wound	22.341850987744284	0.32747718756191146	1150	12	4.222798528156514	female_higher	68.22
CETIRIZINE	Joint swelling	24.54980692842635	0.3627862736045319	3896	12	4.214645385851089	female_higher	67.67
HYDROXYCHLOROQUINE	Discomfort	30.548882858902626	0.46231222674925776	3752	11	4.19084291800522	female_higher	66.08
HYDROCORTISONE	Joint swelling	23.979265670925308	0.36659933634682507	2188	11	4.180675280437425	female_higher	65.41
OXYCODONE;PARACETAMOL	Joint swelling	7.5766698947173285	0.11587313817409851	1795	17	4.180333098010459	female_higher	65.39
GOLIMUMAB	Ill-defined disorder	27.89084521194442	0.4316498394440615	2626	11	4.168439082636502	female_higher	64.61
OXYCODONE	Sinusitis	6.127160800670232	0.09521981202065537	2897	26	4.164298727376041	female_higher	64.35
LEFLUNOMIDE	Folliculitis	313.39567103644606	4.889085628036174	3331	11	4.160461219053649	female_higher	64.1
DICLOFENAC	Delirium	18.09928422447944	0.2835332537428084	829	11	4.156298257421302	female_higher	63.83
CETIRIZINE	Contraindicated product administered	113.18872882072368	1.7883540566117304	3885	14	4.147760916702745	female_higher	63.29
