drug_name	adverse_event	ror_female	ror_male	n_female	n_male	log_ratio	direction	fold_change
PERTUZUMAB	Carbohydrate antigen 15-3 increased	8.586758082377923	13927.368927368927	11	10	-7.391389912032977	male_higher	1621.96
ETONOGESTREL	Foetal exposure during pregnancy	0.2573697202252797	183.26151499988086	30	40	-6.568155804227702	male_higher	712.06
HYDROXYPROGESTERONE	Abortion spontaneous	2.616720406885335	1665.768284789644	105	12	-6.45611994771499	male_higher	636.59
MINOXIDIL	Adverse drug reaction	0.18315965262457418	115.63877062342415	20	8460	-6.447868373787949	male_higher	631.36
CARBIDOPA;LEVODOPA	Embedded device	8.579351337025248	5412.584414737976	169	548	-6.447123659548959	male_higher	630.89
ETONOGESTREL	Premature baby	0.4512216669762161	277.3736918253154	18	23	-6.421162224144812	male_higher	614.72
CARBIDOPA;LEVODOPA	Device expulsion	0.355297756960602	216.320199330493	48	79	-6.411558803376324	male_higher	608.84
ETONOGESTREL	Injury associated with device	0.5452253310323198	305.18505759651856	40	15	-6.3274744571603785	male_higher	559.74
ETHINYLESTRADIOL;ETONOGESTREL	Medical device discomfort	25.898189386085836	10766.75156555773	100	19	-6.030045047468779	male_higher	415.73
TRASTUZUMAB	Carbohydrate antigen 15-3 increased	6.900010932514257	2431.298777670433	19	10	-5.864657873936223	male_higher	352.36
ESTRADIOL	Invasive ductal breast carcinoma	5.3710472885354	1892.4673202614379	42	10	-5.864613801833109	male_higher	352.35
VITAMIN B12	Abortion spontaneous	2.969535981092497	1039.503231492362	24	11	-5.85809251070579	male_higher	350.06
FEZOLINETANT	Off label use	1.089702862219466	340.4332025540426	65	16	-5.7443138761509145	male_higher	312.41
LABETALOL	Abortion spontaneous	7.914227571402107	2315.893856982883	48	15	-5.678888909227175	male_higher	292.62
HISTRELIN	Device expulsion	7.011600613999031	1892.5532679738562	21	11	-5.59811612386203	male_higher	269.92
TAMOXIFEN	Carbohydrate antigen 15-3 increased	90.82215898015671	23637.730612244897	44	10	-5.561696171656359	male_higher	260.26
HYDROXYPROGESTERONE	Stillbirth	20.500528853965385	5222.644419391207	71	52	-5.540308462788479	male_higher	254.76
VITAMIN B9	Abortion spontaneous	2.815566646036291	692.9178864569084	99	14	-5.505747965656598	male_higher	246.1
ETONOGESTREL	Accidental exposure to product	0.10568940510511902	25.618831637478046	33	10	-5.490578318549268	male_higher	242.4
DESOXIMETASONE	Stress	0.2826696341218515	66.18967566351967	12	49	-5.456000927876889	male_higher	234.16
PERTUZUMAB	Oligohydramnios	4.501584667477835	1042.9107221794725	18	11	-5.445341371078753	male_higher	231.68
DENOSUMAB	Peri-implantitis	19.467940074607125	4084.7940552016985	13	14	-5.346257577321847	male_higher	209.82
INTRAUTERINE CONTRACEPTIVE DEVICE	Dyspareunia	85.23305185799938	12509.160953177257	823	31	-4.988827239907412	male_higher	146.76
LEVONORGESTREL	Foetal exposure during pregnancy	0.23737416196258468	33.38976457717087	23	10	-4.946367043524655	male_higher	140.66
ALENDRONIC ACID	Vasculitis	1.1505535757088325	156.54430493805896	16	139	-4.913095871825798	male_higher	136.06
VITAMIN D2	Nodule	5.9903991566072055	799.26451584438	14	169	-4.893533902536879	male_higher	133.42
ALENDRONIC ACID	Eosinophilic granulomatosis with polyangiitis	5.689759182632974	732.1020072989561	12	147	-4.857251934154963	male_higher	128.67
DESOXIMETASONE	Pulmonary embolism	0.2751176243013648	33.27944421525148	10	47	-4.795496463582158	male_higher	120.96
DOCETAXEL	Carbohydrate antigen 15-3 increased	5.366833701999061	642.7403568091827	16	10	-4.785502735579854	male_higher	119.76
DESOXIMETASONE	COVID-19	0.14680748804332724	16.13023720706088	15	52	-4.699328753617481	male_higher	109.87
RIZATRIPTAN	Hyperhidrosis	1.1710880340327987	125.57197643625265	13	255	-4.674945851296158	male_higher	107.23
DESOXIMETASONE	Accidental overdose	0.7168930942059498	76.70043386338814	10	49	-4.6727359160106055	male_higher	106.99
ALENDRONIC ACID	Neuritis	11.999848161963195	1245.2111635711833	21	141	-4.642166407272686	male_higher	103.77
LOPINAVIR	Abortion spontaneous	35.18548073577154	3615.783914178681	19	11	-4.632430443065678	male_higher	102.76
FLIBANSERIN	Product use issue	1.2947915035729312	132.81025079624416	23	28	-4.630571742706665	male_higher	102.57
ETANERCEPT	Breast feeding	0.4699039629215211	47.3513934726806	11	11	-4.612823187766978	male_higher	100.77
RISPERIDONE	Emotional disorder	1.5101469154039242	146.92675400438225	39	5735	-4.577727249457449	male_higher	97.29
RISPERIDONE	Abnormal weight gain	17.997184311143748	1727.667436569511	66	9346	-4.564312156651608	male_higher	96.0
ETHINYLESTRADIOL;ETONOGESTREL	Medical device site discomfort	234.1581450583771	22116.914348063285	159	14	-4.548101229219121	male_higher	94.45
INTRAUTERINE CONTRACEPTIVE DEVICE;LEVONORGESTREL	Low birth weight baby	0.5543225272194657	50.01222910942757	16	14	-4.5022761402502	male_higher	90.22
ABATACEPT	Apparent death	1.2757884233406693	110.94177501436336	22	282	-4.465441155522753	male_higher	86.96
HYDROXYQUINOLINE	Joint swelling	44.820490539176085	3732.459478089611	17	46	-4.42215725988588	male_higher	83.28
ALENDRONIC ACID	Haemoptysis	0.5161947402387868	42.59209745580033	15	153	-4.412939911470468	male_higher	82.51
DESOXIMETASONE	Somnolence	0.2158887404551059	17.78248945109975	19	52	-4.4112063288955605	male_higher	82.37
DEXAMETHASONE	Complication of device insertion	0.8474439664600346	69.38474282142026	65	70	-4.405197557456408	male_higher	81.88
PERTUZUMAB	SARS-CoV-2 test positive	1.3368754621700258	108.36709527601498	21	46	-4.395189347247233	male_higher	81.06
LEFLUNOMIDE	Apparent death	2.9067789911987503	234.2020513207162	22	289	-4.389138617699751	male_higher	80.57
