drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
PREDNISONE	926	650	276	0.5556650342550514	4.827950638154627	-2.6287766565753503	70.2
METHOTREXATE	892	433	459	0.08145730764202759	4.744840614648506	-3.16302223380099	48.5
ADALIMUMAB	807	308	499	-0.12682991942724886	4.742840780858185	-3.1113177273944386	38.2
RITUXIMAB	755	503	252	0.5723869565242797	4.559055650143672	-2.5551277879349183	66.6
INFLIXIMAB	623	314	309	0.22466625102012786	4.365145692995518	-3.1076175329157802	50.4
ETANERCEPT	618	263	355	-0.06451912483508192	4.349408496657637	-4.612823187766978	42.6
TACROLIMUS	572	434	138	0.4634178033999282	2.9390346293795604	-2.0960491986996663	75.9
PREDNISOLONE	542	447	95	0.6072363474757182	2.7460877720638956	-1.7645658576688907	82.5
DEXAMETHASONE	537	431	106	0.5446021702398532	2.4863132293396255	-4.405197557456408	80.3
METHYLPREDNISOLONE	521	402	119	0.7814295449088157	3.8813489765307256	-1.8136938575664046	77.2
RISPERIDONE	518	481	37	0.940238454625238	3.2927745167646965	-4.577727249457449	92.9
TOCILIZUMAB	508	251	257	0.09236443295447858	3.8312526805571707	-3.858574949250137	49.4
MYCOPHENOLIC ACID	507	387	120	0.7114471099375266	3.675525709246145	-2.6904400409459783	76.3
PANTOPRAZOLE	501	302	199	0.35820976840614654	3.854618499446514	-2.6240331126054195	60.3
CYCLOPHOSPHAMIDE	498	322	176	0.2688401077231621	2.7378599100382597	-3.2548419468646776	64.7
OXYCODONE	492	418	74	1.0912548845241659	5.49607360941596	-3.3227454653242154	85.0
PARACETAMOL	487	277	210	0.3363644893990718	3.914209940750934	-3.388265155288256	56.9
SECUKINUMAB	456	238	218	0.2756717513575224	4.432323886314812	-2.672022337763669	52.2
MORPHINE	441	368	73	0.8473125144515573	3.7782610412577746	-3.3586410805692006	83.4
ACETYLSALICYLIC ACID	433	316	117	0.4797595399997937	2.8006244833378915	-2.4177209520991645	73.0
QUETIAPINE	426	270	156	0.37006614092851037	3.0822676245801515	-2.5725666697683893	63.4
AMLODIPINE	422	213	209	0.009247351986837576	3.599707890376825	-2.8312391044382625	50.5
SALBUTAMOL	418	177	241	-0.21905601054134055	3.16094038574927	-3.702409744109332	42.3
CICLOSPORIN	409	202	207	-0.009159470834303771	2.689502014979247	-2.760620948934319	49.4
PREGABALIN	406	219	187	0.1729727732401187	2.97533522577911	-2.6508991844592638	53.9
DICLOFENAC	401	203	198	0.31926912243454986	4.234388647238324	-3.462596660793259	50.6
METFORMIN	399	249	150	0.24213419297411856	2.4230335395561813	-3.580755692607997	62.4
ATORVASTATIN	388	180	208	0.026778792236475824	3.3229628046850297	-2.1579768560290207	46.4
FUROSEMIDE	385	219	166	0.13173111476821522	3.680096809438612	-2.833528487765386	56.9
ZOLEDRONIC ACID	376	99	277	-0.4637129955187212	1.5139797041191856	-2.8070621052220766	26.3
HYDROXYCHLOROQUINE	376	195	181	0.146057365605197	4.769659061626444	-4.026351507133033	51.9
IBUPROFEN	372	221	151	0.16920067471023958	2.379754606270495	-3.217745228675433	59.4
LEFLUNOMIDE	370	155	215	-0.22280303666099394	4.2264286341653765	-4.389138617699751	41.9
RAMIPRIL	368	262	106	0.6754557173708065	3.702398043946487	-2.820910387960528	71.2
TRAMADOL	360	271	89	0.7216752668004304	3.5535661308197937	-3.0823040490386955	75.3
ABATACEPT	344	155	189	-0.1281925398571477	3.6397520394069955	-4.465441155522753	45.1
CIPROFLOXACIN	342	141	201	-0.12434232540548829	2.5181858960257792	-2.951642836893535	41.2
ARIPIPRAZOLE	342	162	180	-0.03724414615699542	2.41289024920614	-1.8106591297592232	47.4
INSULIN	339	134	205	-0.21623053890949573	2.106910019469098	-2.9839962616478477	39.5
VALPROIC ACID	339	167	172	-0.00727691643841012	2.455694888042225	-2.398566181255586	49.3
ROSUVASTATIN	337	165	172	-0.04863903775387929	3.4994198464618775	-3.0891984273495177	49.0
