adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Drug ineffective	501	189	312	-0.17252082236974	501	37.7
Off label use	445	226	219	0.013132631205475849	445	50.8
Condition aggravated	392	132	260	-0.3525924455786319	392	33.7
Vomiting	362	177	185	-0.04990720813809884	362	48.9
Dyspnoea	349	181	168	0.03975726390731815	349	51.9
Nausea	339	134	205	-0.31304937959077594	339	39.5
Death	337	251	86	0.3002391203515247	337	74.5
Fatigue	332	220	112	0.4248310971952274	332	66.3
Headache	327	164	163	0.06738595919234922	327	50.2
Pain	327	227	100	0.5401636240603419	327	69.4
Pyrexia	322	221	101	0.5175088058079566	322	68.6
Hypertension	313	207	106	0.4177144081815714	313	66.1
Product use in unapproved indication	304	154	150	-0.02140444927038518	304	50.7
Rash	301	221	80	0.6341550129202588	301	73.4
Drug hypersensitivity	299	138	161	-0.19419646275916236	299	46.2
Diarrhoea	296	203	93	0.37604665702275897	296	68.6
Dizziness	289	160	129	0.15394221097760444	289	55.4
Hypersensitivity	281	133	148	0.16860241468356163	281	47.3
Drug intolerance	279	125	154	-0.06852207111220884	279	44.8
Malaise	275	151	124	0.1550608572758905	275	54.9
Hypotension	274	222	52	0.5812846370059132	274	81.0
Acute kidney injury	267	191	76	0.33315135365481635	267	71.5
Pneumonia	267	195	72	0.6474388935808626	267	73.0
Asthenia	266	196	70	0.5011917605122422	266	73.7
Weight decreased	261	208	53	0.5986761640475553	261	79.7
Abdominal pain	261	121	140	-0.10072794598811127	261	46.4
Anxiety	260	109	151	-0.17477075000282632	260	41.9
Product use issue	256	143	113	0.3044992067446263	256	55.9
Toxicity to various agents	255	179	76	0.383583943680231	255	70.2
Fall	250	147	103	0.22523655078501353	250	58.8
Constipation	246	138	108	0.11944827232582383	246	56.1
Pruritus	244	158	86	0.37042788783033864	244	64.8
Decreased appetite	243	188	55	0.6027422969470307	243	77.4
Drug interaction	243	195	48	0.44891791901163874	243	80.2
Anaemia	242	158	84	0.20238743298074421	242	65.3
Overdose	241	197	44	0.6560098217099197	241	81.7
General physical health deterioration	239	147	92	0.4056369510703295	239	61.5
Therapeutic product effect incomplete	238	110	128	-0.0648094547369778	238	46.2
Arthralgia	238	137	101	0.24950506401016226	238	57.6
Weight increased	237	143	94	0.340903938255125	237	60.3
Pain in extremity	235	78	157	-0.3492099371981258	235	33.2
Confusional state	234	153	81	0.5897956277410811	234	65.4
Treatment failure	233	107	126	0.18457555840763337	233	45.9
Abdominal discomfort	229	143	86	0.5104952056113878	229	62.4
Insomnia	224	105	119	0.02031591721213762	224	46.9
Erythema	222	90	132	-0.08666573961817524	222	40.5
Cough	220	113	107	0.024902779645603005	220	51.4
Urticaria	219	117	102	0.18816349777247854	219	53.4
Thrombocytopenia	217	172	45	0.6580024751058429	217	79.3
Asthma	217	102	115	-0.09065585756008987	217	47.0
Oedema peripheral	214	147	67	0.4631967373071787	214	68.7
Depression	214	120	94	0.1606537476949509	214	56.1
Somnolence	213	82	131	-0.3793740275980268	213	38.5
Sleep disorder	212	89	123	-0.006212181896644036	212	42.0
Cardiac arrest	210	178	32	0.5847901858591316	210	84.8
Swelling	209	88	121	0.0017850142795555269	209	42.1
Gastrointestinal disorder	209	123	86	0.4336431008460832	209	58.9
Abdominal pain upper	209	135	74	0.4637701773747875	209	64.6
Adverse drug reaction	206	193	13	0.9173628822546356	206	93.7
Musculoskeletal stiffness	206	97	109	0.14801582155127507	206	47.1
Foetal exposure during pregnancy	203	132	71	0.13319427056253821	203	65.0
Sepsis	202	98	104	-0.2808057082236019	202	48.5
Renal failure	202	159	43	0.3747880916396805	202	78.7
Alopecia	198	64	134	-0.2763326469681249	198	32.3
Hypoaesthesia	197	96	101	0.28786030491118975	197	48.7
Paraesthesia	197	80	117	-0.0070315648480238505	197	40.6
Pulmonary embolism	196	44	152	-0.9235882597738428	196	22.4
Gait disturbance	193	95	98	0.08493554512952461	193	49.2
Hyponatraemia	193	111	82	-0.09943571418391088	193	57.5
Multiple organ dysfunction syndrome	192	129	63	0.20178309540293374	192	67.2
Chest pain	192	119	73	0.36070709278154883	192	62.0
Respiratory failure	192	130	62	0.2475932869833337	192	67.7
Intentional product misuse	188	43	145	-0.641525963019615	188	22.9
Infection	184	112	72	0.5431598545708395	184	60.9
Cardiac failure	184	147	37	0.5364028065620687	184	79.9
Myocardial infarction	182	150	32	0.6257774443712201	182	82.4
Hepatic enzyme increased	181	111	70	0.7767907407594922	181	61.3
Wheezing	181	102	79	0.39335306872435655	181	56.4
Back pain	181	83	98	-0.06925507465347834	181	45.9
Dry mouth	180	82	98	-0.0022757674926340388	180	45.6
