Drug_Class	N_Drugs	N_Signals	Mean_Sex_Bias	Direction	F_Strong	M_Strong
Opioids	67	6555	0.5236	F	4923	1632
Antipsychotics	15	3292	0.4544	F	2337	955
ACE Inhibitors	27	2298	0.4203	F	1607	691
Corticosteroids	51	5110	0.4079	F	3555	1555
Checkpoint Inhibitors	6	1012	0.3956	F	732	280
Anticoagulants	13	2460	0.2783	F	1678	782
Benzodiazepines	9	2096	0.2662	F	1369	727
PPIs	18	3937	0.2556	F	2538	1399
NSAIDs	27	3442	0.2433	F	1877	1565
Oral Antidiabetics	29	1969	0.212	F	1243	726
ARBs	26	2779	0.189	F	1696	1083
SSRIs	15	2037	-0.1889	M	854	1183
Beta Blockers	18	2649	0.1864	F	1650	999
Statins	15	2621	0.1615	F	1584	1037
Ca Channel Blockers	26	1877	0.1265	F	1081	796
Insulins	10	1131	-0.0777	M	529	602
Anti-TNF	17	3214	0.0703	F	1461	1753
Anticonvulsants	11	2649	-0.0504	M	1260	1389
