target_id	gene_name	total_drugs	female_biased_drugs	male_biased_drugs	female_fraction	sex_bias_score
ENSG00000111319	SCNN1A	2	0	2	0.0	-1.0
ENSG00000171720	HDAC3	2	2	0	1.0	1.0
ENSG00000259207	ITGB3	3	3	0	1.0	1.0
ENSG00000185010	F8	2	2	0	1.0	1.0
ENSG00000166828	SCNN1G	2	0	2	0.0	-1.0
ENSG00000168447	SCNN1B	2	0	2	0.0	-1.0
ENSG00000118271	TTR	2	2	0	1.0	1.0
ENSG00000147955	SIGMAR1	2	2	0	1.0	1.0
ENSG00000180914	OXTR	2	0	2	0.0	-1.0
ENSG00000064989	CALCRL	3	0	3	0.0	-1.0
ENSG00000004948	CALCR	2	0	2	0.0	-1.0
ENSG00000101981	F9	2	2	0	1.0	1.0
ENSG00000116478	HDAC1	2	2	0	1.0	1.0
ENSG00000005961	ITGA2B	3	3	0	1.0	1.0
ENSG00000196591	HDAC2	2	2	0	1.0	1.0
ENSG00000094631	HDAC6	2	2	0	1.0	1.0
ENSG00000091831	ESR1	5	1	5	0.2	-0.8
ENSG00000108556	CHRNE	4	4	1	1.0	0.75
ENSG00000170989	S1PR1	4	1	4	0.25	-0.75
ENSG00000179097	HTR1F	4	1	4	0.25	-0.75
ENSG00000162434	JAK1	4	1	4	0.25	-0.75
ENSG00000283946	CHRNB1	4	4	1	1.0	0.75
ENSG00000138435	CHRNA1	4	4	1	1.0	0.75
ENSG00000196811	CHRNG	4	4	1	1.0	0.75
ENSG00000135902	CHRND	4	4	1	1.0	0.75
ENSG00000100433	KCNK10	3	3	1	1.0	0.667
ENSG00000169427	KCNK9	3	3	1	1.0	0.667
ENSG00000115705	TPO	3	1	3	0.333	-0.667
ENSG00000135446	CDK4	3	1	3	0.333	-0.667
ENSG00000105810	CDK6	3	1	3	0.333	-0.667
ENSG00000189221	MAOA	3	1	3	0.333	-0.667
ENSG00000109738	GLRB	3	3	1	1.0	0.667
ENSG00000137869	CYP19A1	3	1	3	0.333	-0.667
ENSG00000160801	PTH1R	3	1	3	0.333	-0.667
ENSG00000186795	KCNK18	3	3	1	1.0	0.667
ENSG00000145888	GLRA1	3	3	1	1.0	0.667
ENSG00000082482	KCNK2	3	3	1	1.0	0.667
ENSG00000171303	KCNK3	3	3	1	1.0	0.667
ENSG00000173198	CYSLTR1	3	1	3	0.333	-0.667
ENSG00000147168	IL2RG	3	3	1	1.0	0.667
ENSG00000120217	CD274	3	3	1	1.0	0.667
ENSG00000169083	AR	9	9	3	1.0	0.667
ENSG00000066468	FGFR2	3	3	1	1.0	0.667
ENSG00000134460	IL2RA	3	3	1	1.0	0.667
ENSG00000177455	CD19	6	6	2	1.0	0.667
ENSG00000100385	IL2RB	3	3	1	1.0	0.667
ENSG00000135312	HTR1B	8	3	8	0.375	-0.625
ENSG00000082175	PGR	10	3	9	0.3	-0.6
ENSG00000104267	CA2	5	2	5	0.4	-0.6
ENSG00000122420	PTGFR	5	2	5	0.4	-0.6
ENSG00000093010	COMT	2	1	2	0.5	-0.5
ENSG00000180739	S1PR5	2	1	2	0.5	-0.5
ENSG00000132155	RAF1	2	2	1	1.0	0.5
ENSG00000074410	CA12	2	1	2	0.5	-0.5
ENSG00000068078	FGFR3	2	2	1	1.0	0.5
ENSG00000165646	SLC18A2	6	2	5	0.333	-0.5
ENSG00000113263	ITK	2	1	2	0.5	-0.5
ENSG00000010322	NISCH	2	2	1	1.0	0.5
ENSG00000125910	S1PR4	2	1	2	0.5	-0.5
ENSG00000164270	HTR4	4	2	4	0.5	-0.5
ENSG00000115353	TACR1	2	2	1	1.0	0.5
ENSG00000126218	F10	4	4	2	1.0	0.5
ENSG00000070019	GUCY2C	2	1	2	0.5	-0.5
ENSG00000141736	ERBB2	6	3	6	0.5	-0.5
ENSG00000105464	GRIN2D	6	3	6	0.5	-0.5
ENSG00000288269	GCGR	2	1	2	0.5	-0.5
ENSG00000050628	PTGER3	2	1	2	0.5	-0.5
ENSG00000160013	PTGIR	6	3	6	0.5	-0.5
ENSG00000186038	HTR3E	2	2	1	1.0	0.5
ENSG00000149305	HTR3B	2	2	1	1.0	0.5
ENSG00000186090	HTR3D	2	2	1	1.0	0.5
ENSG00000178084	HTR3C	2	2	1	1.0	0.5
ENSG00000135914	HTR2B	2	2	1	1.0	0.5
ENSG00000276977	PDCD1	4	4	2	1.0	0.5
ENSG00000160951	PTGER1	2	1	2	0.5	-0.5
ENSG00000125384	PTGER2	2	1	2	0.5	-0.5
ENSG00000161509	GRIN2C	6	3	6	0.5	-0.5
ENSG00000132639	SNAP25	4	2	4	0.5	-0.5
ENSG00000273079	GRIN2B	6	3	6	0.5	-0.5
ENSG00000116032	GRIN3B	6	3	6	0.5	-0.5
ENSG00000198785	GRIN3A	6	3	6	0.5	-0.5
ENSG00000176884	GRIN1	6	3	6	0.5	-0.5
ENSG00000227322	RXRB	2	1	2	0.5	-0.5
ENSG00000143171	RXRG	2	1	2	0.5	-0.5
ENSG00000186350	RXRA	2	1	2	0.5	-0.5
ENSG00000113525	IL5	2	1	2	0.5	-0.5
ENSG00000196689	TRPV1	2	1	2	0.5	-0.5
ENSG00000196549	MME	2	2	1	1.0	0.5
ENSG00000117013	KCNQ4	2	1	2	0.5	-0.5
ENSG00000196664	TLR7	2	1	2	0.5	-0.5
ENSG00000184156	KCNQ3	2	1	2	0.5	-0.5
ENSG00000114013	CD86	2	2	1	1.0	0.5
ENSG00000053918	KCNQ1	2	1	2	0.5	-0.5
ENSG00000075043	KCNQ2	2	1	2	0.5	-0.5
ENSG00000079999	KEAP1	2	1	2	0.5	-0.5
ENSG00000179546	HTR1D	10	4	9	0.4	-0.5
ENSG00000105397	TYK2	2	1	2	0.5	-0.5
ENSG00000105639	JAK3	2	1	2	0.5	-0.5
ENSG00000121594	CD80	2	2	1	1.0	0.5
ENSG00000036828	CASR	2	2	1	1.0	0.5
ENSG00000291971	SRC	2	2	1	1.0	0.5
ENSG00000185760	KCNQ5	2	1	2	0.5	-0.5
ENSG00000291507	GAA	2	2	1	1.0	0.5
ENSG00000113749	HRH2	5	5	3	1.0	0.4
ENSG00000291803	PARP2	5	5	3	1.0	0.4
ENSG00000143799	PARP1	5	5	3	1.0	0.4
ENSG00000182578	CSF1R	5	3	5	0.6	-0.4
ENSG00000188778	ADRB3	8	5	8	0.625	-0.375
ENSG00000103546	SLC6A2	27	15	25	0.556	-0.37
ENSG00000197635	DPP4	6	6	4	1.0	0.333
ENSG00000160654	CD3G	6	5	3	0.833	0.333
ENSG00000169252	ADRB2	24	16	24	0.667	-0.333
ENSG00000133742	CA1	3	2	3	0.667	-0.333
ENSG00000137252	HCRTR2	3	2	3	0.667	-0.333
ENSG00000121764	HCRTR1	3	2	3	0.667	-0.333
ENSG00000105976	MET	3	2	3	0.667	-0.333
ENSG00000164344	KLKB1	3	2	3	0.667	-0.333
ENSG00000180210	F2	3	3	2	1.0	0.333
ENSG00000167286	CD3D	6	5	3	0.833	0.333
ENSG00000160716	CHRNB2	3	2	3	0.667	-0.333
ENSG00000198851	CD3E	6	5	3	0.833	0.333
ENSG00000151623	NR3C2	6	6	4	1.0	0.333
ENSG00000167434	CA4	3	2	3	0.667	-0.333
ENSG00000126351	THRA	3	2	3	0.667	-0.333
ENSG00000257335	MGAM	3	3	2	1.0	0.333
ENSG00000151090	THRB	3	2	3	0.667	-0.333
ENSG00000118432	CNR1	3	3	2	1.0	0.333
ENSG00000101204	CHRNA4	3	2	3	0.667	-0.333
ENSG00000077097	TOP2B	3	3	2	1.0	0.333
ENSG00000275565	ALOX5	3	2	3	0.667	-0.333
ENSG00000278195	SSTR3	3	2	3	0.667	-0.333
ENSG00000139874	SSTR1	3	2	3	0.667	-0.333
ENSG00000077782	FGFR1	3	3	2	1.0	0.333
ENSG00000172572	PDE3A	6	6	4	1.0	0.333
ENSG00000276996	SLC6A3	12	7	11	0.583	-0.333
ENSG00000183454	GRIN2A	7	4	6	0.571	-0.286
ENSG00000133019	CHRM3	18	12	17	0.667	-0.278
ENSG00000073756	PTGS2	37	25	35	0.676	-0.27
ENSG00000102001	CACNA1F	16	15	11	0.938	0.25
ENSG00000081248	CACNA1S	16	15	11	0.938	0.25
ENSG00000162009	SSTR5	4	3	4	0.75	-0.25
ENSG00000285479	CACNA1C	16	15	11	0.938	0.25
ENSG00000186951	PPARA	4	4	3	1.0	0.25
ENSG00000096968	JAK2	4	2	3	0.5	-0.25
ENSG00000167397	VKORC1	4	4	3	1.0	0.25
ENSG00000198900	TOP1	4	3	4	0.75	-0.25
ENSG00000157388	CACNA1D	16	15	11	0.938	0.25
ENSG00000180616	SSTR2	4	3	4	0.75	-0.25
ENSG00000010671	BTK	4	3	2	0.75	0.25
ENSG00000143924	EML4	4	3	4	0.75	-0.25
ENSG00000055118	KCNH2	4	3	4	0.75	-0.25
ENSG00000151617	EDNRA	4	3	4	0.75	-0.25
ENSG00000117601	SERPINC1	8	8	6	1.0	0.25
ENSG00000074803	SLC12A1	4	3	4	0.75	-0.25
ENSG00000147246	HTR2C	21	14	19	0.667	-0.238
ENSG00000150594	ADRA2A	17	12	16	0.706	-0.235
ENSG00000184160	ADRA2C	17	12	16	0.706	-0.235
ENSG00000274286	ADRA2B	17	12	16	0.706	-0.235
ENSG00000095303	PTGS1	30	21	28	0.7	-0.233
