pt	total_strong	female_biased	male_biased	max_ratio
Device dislocation	220	0	220	4.340107054304883
Drug intolerance	176	95	81	3.3599049782107326
Off label use	174	93	81	4.634691252457648
General physical health deterioration	170	116	54	3.9327543892427808
Contraindicated product administered	168	89	79	4.409483251385477
Condition aggravated	163	74	89	3.187579759600832
Product use in unapproved indication	159	82	77	3.758881800008179
Swelling	155	89	66	3.883152939682019
Product use issue	153	123	30	4.562801496381521
Treatment failure	153	115	38	3.3890208644755613
Drug ineffective	152	74	78	3.0822413197807097
Wheezing	152	107	45	3.7285123690369013
Infusion related reaction	148	137	11	4.317422090694166
Type 2 diabetes mellitus	146	70	76	3.5421142617844423
Hepatic enzyme increased	145	128	17	4.124850075431562
Asthma	144	86	58	3.3299745211801017
Pain	144	94	50	3.7013208834258915
Hypertension	140	105	35	2.9661555835064104
Blood cholesterol increased	139	86	53	4.887930539096812
Drug hypersensitivity	138	61	77	3.328549216438656
Pyrexia	135	109	26	3.4132571284050535
Hypersensitivity	135	92	43	3.5972134595923944
Sleep disorder	130	90	40	3.768024598257808
Dry mouth	130	67	63	3.7877528834887695
Vomiting	126	73	53	3.379764600395262
Rash	125	108	17	3.3212438677391587
Fatigue	124	84	40	3.246386397602992
Therapeutic product effect incomplete	122	70	52	3.335468762828487
Lower respiratory tract infection	122	90	32	4.496841597157533
Adverse drug reaction	121	110	11	6.32947001830277
Alopecia	121	47	74	4.861879920955309
Obesity	121	106	15	4.182519215672182
Pericarditis	117	65	52	4.902413471598086
Drug abuse	117	92	25	3.464554892806977
Therapeutic product effect decreased	117	95	22	4.253027767782929
Weight increased	116	92	24	4.229122813949387
Dyspnoea	116	66	50	3.4053226771810214
Wound	115	90	25	4.234818188102755
Anxiety	114	38	76	4.077941214921262
Loss of personal independence in daily activities	113	29	84	3.0118721712091743
Oedema	113	101	12	3.355663754979622
Pulmonary embolism	113	17	96	4.0114071538247895
Pneumonia	113	92	21	2.542804433845063
Urticaria	112	67	45	3.0980756255582924
Injury	112	103	9	3.8276672651287083
Confusional state	112	86	26	4.208619351263994
Abdominal discomfort	111	89	22	4.31175359837928
Lung disorder	110	83	27	3.0709536214497097
Nausea	109	38	71	3.347865541172953
Impaired healing	109	81	28	3.919024772090791
Stomatitis	108	81	27	3.8119445422344045
Foetal exposure during pregnancy	108	60	48	6.504749165675264
Folliculitis	107	54	53	4.204697568628265
Blister	107	102	5	4.467230367893903
Stress	107	7	100	3.7615135048658424
Pulmonary fibrosis	106	80	26	3.4104924429318286
Nasopharyngitis	106	73	33	4.2150835199174574
Discomfort	106	81	25	3.970985026316674
C-reactive protein increased	106	94	12	3.0357284066884755
Joint swelling	106	78	28	3.9502330643649195
Hyponatraemia	106	42	64	3.1972558871126266
Depression	104	59	45	3.194795884198102
Gastrointestinal disorder	103	91	12	3.927867610434052
Hypercholesterolaemia	103	62	41	3.893735315701674
Night sweats	101	81	20	3.0931277472664678
Constipation	100	56	44	4.037389166281256
Overdose	100	87	13	3.3189620429308837
Systemic lupus erythematosus	100	36	64	4.332015581395166
Glossodynia	99	49	50	4.414903065456315
Rheumatoid arthritis	99	64	35	2.9430240267073304
Toxicity to various agents	99	69	30	3.7870422832145274
Infection	98	80	18	3.3224892980259813
Angioedema	98	92	6	3.1873549840560353
Osteoarthritis	97	52	45	2.922663049317139
Intentional product use issue	97	80	17	4.968096177378
Incorrect route of product administration	96	54	42	3.0872917273895157
Ill-defined disorder	95	87	8	3.6352621407363173
Musculoskeletal stiffness	95	62	33	3.1544824528623856
Headache	94	50	44	3.344766392368097
Complication associated with device	94	0	94	2.225956309989532
Mobility decreased	93	80	13	2.9741450757940178
Sinusitis	93	67	26	3.449874257520676
Arthropathy	93	77	16	3.6259902925203407
Abdominal distension	93	22	71	3.024733367552856
Bursitis	91	66	25	3.050447366584145
Maternal exposure during pregnancy	90	21	69	5.28751741453534
Delirium	89	87	2	3.931594812495077
Prescribed overdose	89	80	9	4.296983655545008
Liver injury	88	81	7	4.107742520736735
Drug interaction	87	60	27	2.38454544091631
Intentional product misuse	87	27	60	3.4433916932567357
Decreased appetite	87	68	19	3.2066150859369116
Hypoaesthesia	86	66	20	2.8732669243744122
Pain in extremity	86	27	59	2.7243122114905423
Adverse event	86	81	5	3.1578579561081925
Abdominal pain	86	38	48	3.0797930894673864
Gait inability	85	73	12	3.256420799556768
Drug-induced liver injury	84	74	10	2.6078590134777193
Somnolence	84	16	68	3.133294294916868
Abdominal pain upper	84	63	21	3.1217040898722415
