drug_name	total_strong	female_biased	male_biased	max_ratio
RANITIDINE HYDROCHLORIDE	381	378	3	3.1618234158007996
RITUXIMAB	344	281	63	4.296983655545008
PREDNISONE	302	228	74	4.538373382788614
RISPERIDONE	298	273	25	4.654756955612396
TOCILIZUMAB	294	157	137	3.945368698534458
SULFASALAZINE	276	121	155	4.041280934193274
LEFLUNOMIDE	266	103	163	4.1099513286308875
RAMIPRIL	258	217	41	3.800762273981126
METHOTREXATE	255	117	138	4.516788448062801
INFLIXIMAB	254	163	91	4.414903065456315
RANITIDINE	238	229	9	3.110238657317576
ACETAMINOPHEN	227	152	75	3.8025230441982854
MYCOPHENOLATE MOFETIL	224	198	26	4.267743676446137
GOLIMUMAB	217	143	74	4.902413471598086
FOLIC ACID	217	106	111	5.341524870682812
OXYCODONE HYDROCHLORIDE	214	207	7	3.852756184706089
ADALIMUMAB	213	113	100	5.155486557667793
SULFAMETHOXAZOLE\TRIMETHOPRIM	212	179	33	3.5731475876540806
HYDROXYCHLOROQUINE	211	125	86	3.7806286690303286
ALENDRONATE SODIUM	208	117	91	4.156905712707859
ABATACEPT	203	88	115	4.457302203549129
ETANERCEPT	203	97	106	4.43826146778256
ZOPICLONE	198	154	44	3.9297557721863106
DICLOFENAC	196	126	70	3.695065330898168
PANTOPRAZOLE	193	147	46	4.066416257738329
HYDROXYCHLOROQUINE SULFATE	189	71	118	4.007876787939223
DESOXIMETASONE	188	68	120	5.010089306486866
CODEINE	186	152	34	3.183273218253721
PREDNISOLONE	185	151	34	3.206110897027209
CALCIUM CARBONATE	183	132	51	3.6652186885129634
USTEKINUMAB	179	156	23	3.9127612733177175
CETIRIZINE HYDROCHLORIDE	178	128	50	5.248757730154436
DICLOFENAC SODIUM	178	129	49	4.317422090694166
QUETIAPINE	175	131	44	4.396925065072953
LANSOPRAZOLE	174	122	52	3.3213759914022116
CERTOLIZUMAB PEGOL	172	100	72	4.0621461863102715
TOFACITINIB CITRATE	171	83	88	4.00326614368884
HYDROCORTISONE	170	127	43	3.311660819419744
ASPIRIN	169	121	48	3.942745790976474
SECUKINUMAB	165	127	38	4.265620646985975
TACROLIMUS	164	131	33	2.673757751424702
AZATHIOPRINE	164	118	46	3.017681416984038
SILDENAFIL CITRATE	163	128	35	3.622163069586698
CANDESARTAN	162	113	49	3.754318234803282
QUETIAPINE FUMARATE	161	132	29	3.866367713350445
CHLORHEXIDINE GLUCONATE	160	87	73	4.149678275768545
IBUPROFEN	159	96	63	3.494345178705041
OXYCODONE	158	140	18	3.8769335005180507
CYCLOPHOSPHAMIDE	157	96	61	4.511400159680646
METHYLPREDNISOLONE	157	133	24	2.5896777114871288
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	155	149	6	3.933899415701271
CHOLECALCIFEROL	154	60	94	3.6214727297184295
ERGOCALCIFEROL	154	106	48	3.295238110340051
FUROSEMIDE	154	103	51	3.6435611282472595
NAPROXEN	151	99	52	4.067464770413259
METHYLPREDNISOLONE SODIUM SUCCINATE	150	144	6	3.7825364845531393
PREGABALIN	150	86	64	3.0189784758039897
HYDROMORPHONE HYDROCHLORIDE	149	128	21	2.8629918086000745
LEUPROLIDE ACETATE	149	104	45	2.7576167780623773
LEVOTHYROXINE SODIUM	149	40	109	3.254092748146753
PANTOPRAZOLE SODIUM	149	129	20	3.3616163819846676
ACETAMINOPHEN\CODEINE PHOSPHATE	149	126	23	3.8514961349047194
ASCORBIC ACID	146	108	38	3.5376632001751243
CELECOXIB	145	93	52	3.2794637572158885
LORAZEPAM	141	103	38	2.5707810292757456
DEXAMETHASONE	140	110	30	4.46740075311469
TADALAFIL	137	49	88	4.887930539096812
BISOPROLOL	134	88	46	3.0247635259368986
NAPROXEN SODIUM	131	111	20	4.038950032146976
MORPHINE SULFATE	130	110	20	3.665138133759921
CYCLOSPORINE	129	75	54	2.772417880793605
TRAMADOL HYDROCHLORIDE	128	111	17	3.188594623407645
MONTELUKAST SODIUM	127	37	90	3.0672252310010757
LAMOTRIGINE	127	57	70	2.868054689753507
ALENDRONIC ACID	126	83	43	3.3270995391132434
SULFAMETHOXAZOLE	124	90	34	4.467230367893903
BUPRENORPHINE	123	78	45	3.8651033089560687
TRIAMCINOLONE ACETONIDE	123	107	16	3.1878403275579723
ALBUTEROL	123	59	64	4.128946941448242
METFORMIN HYDROCHLORIDE	121	69	52	3.0772465926464085
ETANERCEPT-SZZS	120	71	49	3.0740346460645025
MEPOLIZUMAB	118	63	55	2.767882980508648
ALLOPURINOL	118	90	28	2.3525836008566205
MESALAMINE	117	78	39	2.945396399957591
TOPIRAMATE	115	45	70	2.549823029031936
DOCETAXEL	114	15	99	4.307683887040998
MINOCYCLINE HYDROCHLORIDE	113	80	33	3.2331800207993107
MORPHINE	113	97	16	2.518177990529901
CHLORHEXIDINE	113	71	42	4.496841597157533
AMLODIPINE BESYLATE	112	64	48	4.021364717491083
OLANZAPINE	112	81	31	3.4334631206061843
FENTANYL	111	83	28	2.5339702647066416
HYDROMORPHONE	110	85	25	2.715279589939539
CORTISONE	110	63	47	3.014240555640228
APREMILAST	110	97	13	4.182519215672182
LISINOPRIL	108	90	18	3.001211325915591
HYDROCORTISONE ACETATE	107	55	52	4.124850075431562
CLOPIDOGREL BISULFATE	106	85	21	2.488280858387493
GLUCOSAMINE	106	97	9	3.7979867138187697
CLONAZEPAM	105	51	54	2.714045104238513
