pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
5-hydroxyindolacetic acid increased	1	1	-0.8311260510803499	-0.8311260510803499	1	0	1	0.8311260510803499
ADAMTS13 activity abnormal	1	1	-0.5709980487266832	-0.5709980487266832	1	0	1	0.5709980487266832
Abasia	65	65	-0.2741432172820345	-0.5578486752777636	65	21	44	1.4805585082902715
Abdominal abscess	28	28	-0.03748167514836244	0.014635862213082995	28	14	14	1.3754989740261014
Abdominal adhesions	16	16	0.03635112910346945	0.562474008652676	16	9	7	1.3976425822746301
Abdominal cavity drainage	1	1	0.7756200095014504	0.7756200095014504	1	1	0	0.7756200095014504
Abdominal compartment syndrome	5	5	0.7573965915007298	0.7400376761019383	5	5	0	1.0245657388458367
Abdominal discomfort	327	327	0.32453567513357456	0.5458302983008704	327	182	145	4.31175359837928
Abdominal distension	250	250	-0.429181821131245	-0.6651993712878171	250	81	169	3.024733367552856
Abdominal hernia	37	37	0.24958378811582152	0.5929950291148472	37	26	11	1.8041764281623238
Abdominal infection	12	12	0.023972995815962	0.01177585318062907	12	6	6	0.9705778769116375
Abdominal lymphadenopathy	4	4	-0.0003547912083003424	0.08008898329896863	4	2	2	0.8815312426615634
Abdominal mass	27	27	-0.4709253730342142	-0.5826711324171574	27	7	20	1.391209378500629
Abdominal neoplasm	3	3	-0.9473502590875239	-0.9168748363547538	3	0	3	1.0823454513002757
Abdominal operation	2	2	-0.7507934734919066	-0.7507934734919066	2	0	2	0.8169630975186741
Abdominal pain	331	331	-0.015050059785566915	0.5139756277532362	331	170	161	3.0797930894673864
Abdominal pain lower	219	219	-0.8846717810715636	-0.8385909195132796	219	5	214	1.915949983508089
Abdominal pain upper	305	305	0.32560669050403396	0.6162324117046619	305	187	118	3.1217040898722415
Abdominal rigidity	12	12	-0.7069039142948293	-0.7187401795716128	12	1	11	1.3965035283414557
Abdominal sepsis	4	4	0.11193227593399471	0.015479452980097452	4	2	2	0.9718367194681576
Abdominal symptom	1	1	-0.985577874164558	-0.985577874164558	1	0	1	0.985577874164558
Abdominal tenderness	46	46	-0.07143958546777808	-0.5248655147526122	46	21	25	1.4561768121027139
Abdominal wall abscess	4	4	-0.3171782450438878	-0.6071533405424547	4	1	3	0.8690609766446312
Abdominal wall haematoma	17	17	0.27665223826104834	0.6056614541715611	17	12	5	1.0014212006302223
Abdominal wall haemorrhage	1	1	0.6407589623707683	0.6407589623707683	1	1	0	0.6407589623707683
Abnormal behaviour	107	107	0.4024043135466439	0.6076256327867052	107	79	28	2.438249935361262
Abnormal clotting factor	1	1	-0.5192072778980978	-0.5192072778980978	1	0	1	0.5192072778980978
Abnormal dreams	62	62	0.0984006103003912	0.5350053777923546	62	34	28	1.4391272088221532
Abnormal faeces	39	39	0.2547584252449706	0.5733433476324984	39	26	13	1.6210002036956679
Abnormal loss of weight	41	41	0.10701065602543565	0.5005891130344023	41	21	20	1.6163401540938405
