drug	cluster	pca1	pca2
.ALPHA.-PYRROLIDINOISOHEXANOPHENONE	8	6.1506433	-1.1265141
.ALPHA.-PYRROLIDINOVALEROTHIOPHENONE	0	2.3980465	4.29149
.ALPHA.-TOCOPHEROL	11	-2.632918	-1.1380475
.ALPHA.-TOCOPHEROL ACETATE	14	-2.8457806	-4.4029536
.ALPHA.-TOCOPHEROL ACETATE, D-	16	-3.3168325	-2.9858046
.ALPHA.-TOCOPHEROL ACETATE, DL-	14	-3.337438	-1.6940752
.ALPHA.-TOCOPHEROL, D-	4	-2.8824084	-2.904937
.ALPHA.-TOCOPHEROL, DL-	11	-1.4131278	0.82526726
.ALPHA.1-PROTEINASE INHIBITOR HUMAN	14	-4.539367	-2.3381956
.BETA.-CAROTENE	11	-2.945099	0.22540624
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS	0	-2.493324	3.6864524
11-HYDROXY-.DELTA.9-TETRAHYDROCANNABINOL	3	5.525266	-0.32042223
11-NOR-9-CARBOXY-.DELTA-9-TETRAHYDROCANNABINOL	3	5.6495805	1.3006322
3-FLUOROPHENMETRAZINE	3	6.393994	0.67303956
3-METHOXYPHENCYCLIDINE	3	5.8114724	0.79904914
3-METHYLMETHCATHINONE	3	4.1918597	2.5951748
4-AMINO-3-PHENYLBUTYRIC ACID	0	2.03276	3.5553138
4-METHOXYMETHAMPHETAMINE	3	5.506294	0.5351263
7-AMINOFLUNITRAZEPAM	3	5.9287977	0.7025119
A + D ORIGINAL OINTMENT	1	2.6610072	-1.9710617
A+D MEDICATED OINTMENT	1	3.403276	-2.280299
ABACAVIR	19	-0.097537726	0.9246768
ABACAVIR SULFATE	0	0.3065845	1.8896842
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE	8	4.0719366	-0.72346365
ABACAVIR SULFATE\LAMIVUDINE	8	3.4763708	-0.27573586
ABACAVIR SULFATE\LAMIVUDINE\ZIDOVUDINE	0	-2.2394125	-1.0528123
ABACAVIR;DOLUTEGRAVIR;LAMIVUDINE	18	-0.87659246	0.330065
ABACAVIR;LAMIVUDINE	19	0.97383183	1.1233239
ABACAVIR;LAMIVUDINE;ZIDOVUDINE	5	-1.8735434	3.8945131
ABALOPARATIDE	18	0.8855137	-2.2759807
ABATACEPT	19	3.3739717	-1.2965995
ABCIXIMAB	9	2.2873783	5.903754
ABEMACICLIB	19	0.483093	-0.7292368
ABIRATERONE	19	2.3510425	-0.4080492
ABIRATERONE ACETATE	6	-2.3004818	1.4390169
ABROCITINIB	15	-4.37744	-2.0315943
ACALABRUTINIB	18	-0.22390547	-0.5211979
ACAMPROSATE	0	1.3312567	5.5621486
ACARBOSE	6	-0.32160586	3.7788649
ACEBUTOLOL	10	-1.4004095	2.0992255
ACEBUTOLOL HYDROCHLORIDE	10	-2.1094668	-0.051448498
ACECLOFENAC	0	-0.8565508	1.4505687
ACEMETACIN	10	-1.5925146	0.19470279
ACENOCOUMAROL	6	-0.8250411	3.2671642
ACEPROMAZINE	17	4.1402845	5.256703
ACETAMINOPHEN	19	1.4783194	-0.3131646
ACETAMINOPHEN\ASPIRIN\CAFFEINE	10	-2.7269888	0.5614634
ACETAMINOPHEN\BELLADONNA LEAF\CAFFEINE\ERGOTAMINE TARTRATE	13	0.12686244	0.24844024
ACETAMINOPHEN\BUTALBITAL\CAFFEINE	1	4.3286443	0.87432224
ACETAMINOPHEN\BUTALBITAL\CAFFEINE\CODEINE PHOSPHATE	3	6.172726	0.84699064
ACETAMINOPHEN\CAFFEINE	10	0.9733397	2.7822857
ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE	1	-1.2960687	-0.91244596
ACETAMINOPHEN\CAFFEINE\DIHYDROCODEINE BITARTRATE	8	5.1153183	0.14747953
ACETAMINOPHEN\CAFFEINE\ERGOTAMINE TARTRATE	0	-0.8256012	0.44062182
ACETAMINOPHEN\CAFFEINE\ERGOTAMINE\PROCHLORPERAZINE	8	5.454707	-0.4686375
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN	3	5.7830486	0.5451233
ACETAMINOPHEN\CAFFEINE\SALICYLIC ACID	13	2.726698	0.7885775
ACETAMINOPHEN\CHLORPHENIRAMINE\DEXTROMETHORPHAN	3	5.777126	0.35778177
ACETAMINOPHEN\CHLORZOXAZONE	3	5.760725	-0.44920847
ACETAMINOPHEN\CODEINE PHOSPHATE	0	-2.4621167	2.692206
ACETAMINOPHEN\CODEINE PHOSPHATE\DOXYLAMINE SUCCINATE	3	5.939179	0.45938793
ACETAMINOPHEN\CODEINE\PHENYLEPHRINE	17	4.0459576	1.695667
ACETAMINOPHEN\CYANOCOBALAMIN\THIAMINE\TRAMADOL HYDROCHLORIDE	4	-4.4408355	-2.2553391
ACETAMINOPHEN\DEXTROMETHORPHAN	3	6.1580696	-0.550443
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE	1	3.4399643	-1.9834208
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE	3	6.098481	0.85894287
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE	8	5.172097	-1.0253683
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE	8	4.418173	-1.9934716
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN	8	4.2270727	-1.8309318
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PHENYLEPHRINE HYDROCHLORIDE	7	-4.0910196	0.8132193
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE	8	4.7547293	-0.92087114
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLPROPANOLAMINE HYDROCHLORIDE	3	6.0361667	1.4788452
ACETAMINOPHEN\DIPHENHYDRAMINE	3	4.8646355	0.9808916
ACETAMINOPHEN\DIPHENHYDRAMINE HYDROCHLORIDE	3	1.4967414	3.9780104
ACETAMINOPHEN\DIPHENHYDRAMINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE	1	3.0153608	-2.3680675
ACETAMINOPHEN\NAPROXEN	4	-5.7786493	-3.6861777
ACETAMINOPHEN\ORPHENADRINE CITRATE	8	5.302436	-1.0626129
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	4	-5.5555096	-1.93227
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE\OXYCODONE TEREPHTHALATE	18	-0.69396394	0.043105748
ACETAMINOPHEN\PROPOXYPHENE	3	5.9274144	-0.39770395
ACETAMINOPHEN\PROPOXYPHENE NAPSYLATE	2	3.0519173	-2.5591874
ACETAMINOPHEN\PSEUDOEPHEDRINE HYDROCHLORIDE\TRIPROLIDINE HYDROCHLORIDE	5	-1.3950064	0.10897487
ACETAMINOPHEN\SALICYLIC ACID	3	5.8676605	-0.29021218
ACETAMINOPHEN\TRAMADOL	15	-5.713987	0.19507386
ACETAMINOPHEN\TRAMADOL HYDROCHLORIDE	2	2.5414927	-4.091802
ACETAMINOSALOL	10	1.6649104	2.0434854
ACETAZOLAMIDE	18	-1.0934075	0.5903564
ACETIC ACID	3	5.5516286	0.92866176
ACETIC ACID;DELTAMETHRIN	14	-0.10005668	-3.916505
ACETIC ACID;TRIAMCINOLONE	16	-4.403891	-1.5740993
ACETONE	3	6.0801444	0.6645904
ACETYLCARNITINE	3	3.4423842	0.8822109
ACETYLCHOLINE	14	-2.4347107	-1.6548676
ACETYLCYSTEINE	6	-0.109531716	1.1716717
ACETYLFENTANYL	3	4.314263	1.5057387
ACETYLLEUCINE	6	0.27194354	4.5169687
ACETYLSALICYLIC ACID	19	4.4158325	-0.92506635
ACETYLSALICYLIC ACID;ALUMINIUM;MAGNESIUM	16	1.0396022	0.18050565
ACETYLSALICYLIC ACID;BUTALBITAL;CAFFEINE	2	-0.92030376	-2.6153238
ACETYLSALICYLIC ACID;CAFFEINE	10	-2.1652815	1.1322317
ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL	18	-2.015435	-1.8637923
ACETYLSALICYLIC ACID;CAFFEINE;PHENACETIN	8	5.6891685	1.2749088
ACETYLSALICYLIC ACID;CARISOPRODOL	3	6.139814	0.3199966
ACETYLSALICYLIC ACID;CITRIC ACID;SODIUM BICARBONATE	16	-3.810572	-2.4178467
ACETYLSALICYLIC ACID;CLOPIDOGREL	6	-1.6981117	2.286896
ACETYLSALICYLIC ACID;DIPHENHYDRAMINE;PARACETAMOL	13	1.555986	-0.9830165
ACETYLSALICYLIC ACID;DIPYRIDAMOLE	10	-2.8664527	1.719684
ACETYLSALICYLIC ACID;GLYCINE	8	4.612789	0.7444476
ACETYLSALICYLIC ACID;METHOCARBAMOL	17	0.0982607	2.2447345
ACETYLSALICYLIC ACID;OMEPRAZOLE	8	5.5204535	-1.9649249
ACETYLSALICYLIC ACID;OXYCODONE	18	-3.027255	-0.9581792
ACETYLSALICYLIC ACID;PRAVASTATIN	17	3.0383613	3.072912
ACICLOVIR	19	2.180191	-0.30644605
ACICLOVIR;HYDROCORTISONE	8	0.49749807	-2.1899228
ACIPIMOX	6	-2.7808332	0.5523358
ACITRETIN	18	-1.7072827	-2.478434
ACLARUBICIN	9	-4.75271	2.1324887
ACLIDINIUM	18	-0.42899686	-1.901583
ACLIDINIUM BROMIDE	14	-1.7393906	-3.1165128
ACLIDINIUM BROMIDE\FORMOTEROL FUMARATE	14	-0.6927453	-4.0820765
ACLIDINIUM;FORMOTEROL	14	-0.3149253	-1.535814
ACOLTREMON	8	5.063726	-3.613364
ACORAMIDIS	8	4.81444	1.311739
ACRIVASTINE	4	-5.7972536	-1.9872527
ACTONEL TABLET, UNKMG	8	4.9543853	-1.5423764
ACYCLOVIR	18	-0.4258222	0.2762126
ADAGRASIB	5	-4.6886797	4.2511525
ADALIMUMAB	8	5.2377696	-1.4083079
ADALIMUMAB-ADBM	8	5.813131	-2.1666453
ADAPALENE	12	-1.4859526	-5.665606
ADAPALENE;BENZOYL PEROXIDE	12	-0.38202852	-5.6843824
ADEFOVIR	6	-1.1725619	2.0589776
ADEFOVIR DIPIVOXIL	6	-0.8335254	-0.4210271
ADEMETIONINE	0	2.2996535	4.3375144
ADENOSINE	17	-0.5555632	3.6041052
ADIPIODONE MEGLUMINE	4	0.48828202	-4.301254
ADUCANUMAB	6	-0.088677645	1.56975
AESCULUS SPP	11	-1.6485254	-0.020832868
AFATINIB	18	-1.3247975	-0.47805616
AFATINIB, TRIAL	5	-4.50493	1.5169231
AFLIBERCEPT	19	0.17316315	0.4090266
AFRIN SPRAY	1	3.5083315	-2.243549
AGALSIDASE ALFA	15	-5.513783	-2.22912
AGALSIDASE BETA	18	-1.290425	-0.81752807
AGOMELATINE	0	-2.6182008	3.695065
AGROSTIS GIGANTEA POLLEN\DACTYLIS GLOMERATA POLLEN\PHLEUM PRATENSE POLLEN\POA PRATENSIS POLLEN	8	5.371884	-2.0026925
ALANINE	8	5.5442615	0.35486063
ALANINE;ARGININE;ASPARTIC ACID;CALCIUM;GLUCOSE;GLUTAMIC ACID;GLYCINE SPP;HISTIDINE;ISOLEUCINE;LEUCINE;LYSINE;MAGNESIUM;METHIONINE;PHENYLALANINE;POTASSIUM;PROLINE;SERINE;SODIUM ACETATE;SODIUM GLYCEROPHOSPHATE;THREONINE;TRYPTOPHAN, L-;TYROSINE;VALINE	7	-1.0145001	2.146991
ALANINE;ARGININE;CALCIUM;GLYCINE;HISTIDINE;ISOLEUCINE;LEUCINE;LYSINE;MAGNESIUM;METHIONINE;PHENYLALANINE;PROLINE;SERINE;SODIUM CHLORIDE;SODIUM LACTATE;THREONINE;TRYPTOPHAN, L-;TYROSINE;VALINE	3	3.2612212	3.2720187
ALBENDAZOLE	18	-1.1406865	-0.19138153
ALBIGLUTIDE	15	-3.2900114	-0.22685908
ALBUMIN	7	-1.4523313	2.5071292
ALBUMIN HUMAN	8	4.9942503	0.45613337
ALBUMIN;ANTITHROMBIN III;FACTOR II;FACTOR IX;FACTOR VII;FACTOR X;HEPARIN;PROTEIN C;PROTEIN S	8	3.4003723	-1.5126779
ALBUTEROL	18	-1.7170858	-0.45692632
ALBUTEROL SULFATE	14	-2.39994	-2.4040127
