drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
.ALPHA.-LIPOIC ACID	20	20	-0.05838938575499739	20	9	11	0.9708181363244208
.ALPHA.-TOCOPHEROL	142	142	-0.37883419715679967	142	45	97	2.5610036166644807
.ALPHA.-TOCOPHEROL ACETATE	3	3	-0.3617219738305238	3	1	2	0.8338276704610639
.ALPHA.-TOCOPHEROL ACETATE, D-	3	3	-1.1514574271650126	3	0	3	1.7696162629321732
.ALPHA.-TOCOPHEROL ACETATE, DL-	2	2	-2.812461077208159	2	0	2	2.9386695800786184
.ALPHA.-TOCOPHEROL ACETATE, DL-\ASCORBIC ACID\CYANOCOBALAMIN\FLUORIDE ION\FOLIC ACID\NIACIN\PYRIDOXINE\RIBOFLAVIN\THIAMINE\VITAMIN A\VITAMIN D	12	12	-0.5412138895887767	12	2	10	1.062969696361922
.ALPHA.-TOCOPHEROL, D-	16	16	-0.9321821997580142	16	4	12	3.017220723471051
.ALPHA.1-PROTEINASE INHIBITOR HUMAN	30	30	-0.5560007704363185	30	3	27	1.0432808227811319
.BETA.-CAROTENE	1	1	-2.1710489396423536	1	0	1	2.1710489396423536
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS	3	3	0.7545873193196512	3	3	0	1.0110354614977886
2	2	2	-0.8724791892426828	2	0	2	0.896471906326193
25-HYDROXYCHOLECALCIFEROL, 5-TRANS-	3	3	-0.661288690177123	3	0	3	0.7628732099948002
6-ACETYLMORPHINE	2	2	1.616566324157636	2	2	0	1.9480327709511471
7-AMINOCLONAZEPAM	1	1	2.0111191044851955	1	1	0	2.0111191044851955
ABACAVIR	65	65	0.8019939279982082	65	48	17	3.277482374288818
ABACAVIR SULFATE	30	30	0.6549389379502268	30	17	13	3.8062578676278633
ABACAVIR SULFATE\DOLUTEGRAVIR SODIUM\LAMIVUDINE	54	54	0.6742957307045233	54	41	13	2.0970970258214576
ABACAVIR SULFATE\LAMIVUDINE	63	63	0.7113881854603553	63	42	21	3.2702233338293785
ABACAVIR SULFATE\LAMIVUDINE\ZIDOVUDINE	5	5	-0.38008095736330044	5	1	4	1.3391602170507955
ABACAVIR\LAMIVUDINE	10	10	0.8850037945126331	10	9	1	1.6287898104997192
ABALOPARATIDE	33	33	-0.7583289985902889	33	2	31	2.3018164669917125
ABATACEPT	377	377	-0.20432993723643694	377	158	219	4.457302203549129
ABCIXIMAB	2	2	1.2629481218048655	2	2	0	1.447286591118507
ABEMACICLIB	13	13	-0.8974188187862542	13	2	11	2.0884995865776115
ABIRATERONE ACETATE	2	2	2.3883854568304304	2	2	0	3.0764099179995537
ABOBOTULINUMTOXINA	20	20	-0.996764762940629	20	2	18	2.1317458910351004
ABROCITINIB	7	7	-0.7096357373476267	7	0	7	1.1018558788388237
ACALABRUTINIB	37	37	0.5419807532072802	37	32	5	1.591001283164321
ACAMPROSATE CALCIUM	2	2	0.6573200244423136	2	2	0	0.7475626437595421
ACARBOSE	54	54	0.40806897498388756	54	40	14	1.5123468449952462
ACEBUTOLOL	16	16	0.3980865562327096	16	10	6	2.0684961475428705
ACEBUTOLOL HYDROCHLORIDE	18	18	0.35992002225215536	18	8	10	3.534383681229832
ACECLOFENAC	4	4	-0.7037691647590809	4	0	4	0.9255050119861761
ACEMETACIN	3	3	-1.0145811813833856	3	0	3	1.2472625161153932
ACENOCOUMAROL	71	71	0.524103404273905	71	57	14	2.234129434051163
ACETAMINOPHEN	847	847	0.3052139008960802	847	550	297	3.8025230441982854
ACETAMINOPHEN / HYDROCODONE	1	1	0.7856728822120336	1	1	0	0.7856728822120336
ACETAMINOPHEN W/DIPHENHYDRAMINE	1	1	-1.262300969290199	1	0	1	1.262300969290199
ACETAMINOPHEN/CODEINE	1	1	-0.5611718609542329	1	0	1	0.5611718609542329
ACETAMINOPHEN\ASCORBIC ACID	1	1	-0.6059312102139636	1	0	1	0.6059312102139636
ACETAMINOPHEN\ASPIRIN\CAFFEINE	39	39	-0.6404950575084042	39	3	36	1.3088569935280896
ACETAMINOPHEN\ASPIRIN\CAFFEINE\SALICYLAMIDE	1	1	-0.5121907681156743	1	0	1	0.5121907681156743
ACETAMINOPHEN\BELLADONNA LEAF\CAFFEINE\OPIUM	5	5	-0.7409166091664079	5	0	5	0.9863442037039993
ACETAMINOPHEN\BUTALBITAL	10	10	-1.2688526020905722	10	0	10	2.3061642437954673
ACETAMINOPHEN\BUTALBITAL\CAFFEINE	19	19	-0.7410480991146895	19	1	18	1.3361759327019922
ACETAMINOPHEN\BUTALBITAL\CAFFEINE\CODEINE PHOSPHATE	4	4	-0.39846976236291753	4	1	3	0.8207486716279913
ACETAMINOPHEN\CAFFEINE	24	24	-0.39182297385682324	24	9	15	2.283936662575378
ACETAMINOPHEN\CAFFEINE\CARISOPRODOL\DICLOFENAC	2	2	-0.8133404089871901	2	0	2	1.0785848195003955
ACETAMINOPHEN\CAFFEINE\CARISOPRODOL\DICLOFENAC SODIUM	1	1	-0.7140521507085219	1	0	1	0.7140521507085219
ACETAMINOPHEN\CAFFEINE\CODEINE	1	1	-0.8321556365165812	1	0	1	0.8321556365165812
ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE	23	23	0.8475998089620933	23	16	7	2.506949793894224
ACETAMINOPHEN\CAFFEINE\DIHYDROCODEINE BITARTRATE	12	12	0.5103383366607548	12	10	2	1.3068339742185031
ACETAMINOPHEN\CAFFEINE\GUAIFENESIN	2	2	-1.4436766681887563	2	0	2	1.5079182671094393
ACETAMINOPHEN\CAFFEINE\OPIUM	4	4	-0.5015705445188692	4	1	3	1.3439265850191904
ACETAMINOPHEN\CAFFEINE\PROPYPHENAZONE	4	4	-0.13395177700541577	4	2	2	0.9677045665752911
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE	3	3	-0.7029758117906842	3	0	3	0.9431797578678687
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE	1	1	-1.34221348026738	1	0	1	1.34221348026738
ACETAMINOPHEN\CHLORPHENIRAMINE MALEATE\DEXTROMETHORPHAN HYDROBROMIDE\PHENYLEPHRINE HYDROCHLORIDE OR ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE OR HOMEOPATHICS	1	1	-0.6741342811970397	1	0	1	0.6741342811970397
ACETAMINOPHEN\CODEINE PHOSPHATE	347	347	0.6840052892033444	347	242	105	3.8514961349047194
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE	5	5	0.20900266598074174	5	3	2	0.9216492617102304
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\DOXYLAMINE SUCCINATE\PHENYLEPHRINE HYDROCHLORIDE	1	1	-0.746621437011075	1	0	1	0.746621437011075
ACETAMINOPHEN\DEXTROMETHORPHAN HYDROBROMIDE\GUAIFENESIN\PHENYLEPHRINE HYDROCHLORIDE	1	1	-0.5744762543898816	1	0	1	0.5744762543898816
ACETAMINOPHEN\DIHYDROCODEINE	21	21	-1.0166170159404266	21	1	20	1.813999799373913
