gene_symbol	ensembl_id	total_drugs	female_biased_drugs	male_biased_drugs	total_signals	f_signals	m_signals	female_fraction	sex_bias_score	mean_log_ratio	median_log_ratio
GMPS	ENSG00000163655	1	1	0	1	1	0	1.0	1.0	0.5011	0.5011
CLDN18	ENSG00000066405	1	1	0	3	3	0	1.0	1.0	0.7697	0.7575
S1PR4	ENSG00000125910	1	0	1	2	0	2	0.0	-1.0	-0.8445	-0.8445
PTGER4	ENSG00000171522	1	0	1	1	0	1	0.0	-1.0	-1.1015	-1.1015
CCKAR	ENSG00000163394	1	0	1	1	0	1	0.0	-1.0	-1.0379	-1.0379
PKLR	ENSG00000262785	1	0	1	4	0	4	0.0	-1.0	-0.7094	-0.6364
CALCR	ENSG00000004948	1	0	1	3	0	3	0.0	-1.0	-0.8796	-0.8227
AKT2	ENSG00000105221	1	0	1	1	0	1	0.0	-1.0	-1.0244	-1.0244
AKT3	ENSG00000275199	1	0	1	1	0	1	0.0	-1.0	-1.0244	-1.0244
AKT1	ENSG00000142208	1	0	1	1	0	1	0.0	-1.0	-1.0244	-1.0244
CYP11A1	ENSG00000288362	1	0	1	6	0	6	0.0	-1.0	-0.8553	-0.8568
CYP11B1	ENSG00000160882	2	0	2	8	0	8	0.0	-1.0	-0.8194	-0.7861
TYK2	ENSG00000105397	2	0	2	8	0	8	0.0	-1.0	-0.6828	-0.6442
SSTR1	ENSG00000139874	1	0	1	3	0	3	0.0	-1.0	-0.8456	-0.8036
PTGER3	ENSG00000050628	2	0	2	9	0	9	0.0	-1.0	-2.6152	-2.4536
SSTR2	ENSG00000180616	1	0	1	3	0	3	0.0	-1.0	-0.8456	-0.8036
SSTR3	ENSG00000278195	1	0	1	3	0	3	0.0	-1.0	-0.8456	-0.8036
SSTR5	ENSG00000162009	1	0	1	3	0	3	0.0	-1.0	-0.8456	-0.8036
SSTR4	ENSG00000132671	1	0	1	3	0	3	0.0	-1.0	-0.8456	-0.8036
SI	ENSG00000090402	1	1	0	2	2	0	1.0	1.0	0.727	0.727
GNRHR	ENSG00000109163	2	2	0	2	2	0	1.0	1.0	2.533	2.533
ADA	ENSG00000196839	1	1	0	3	3	0	1.0	1.0	0.9103	0.9898
IL6ST	ENSG00000134352	1	0	1	3	0	3	0.0	-1.0	-0.9152	-0.9058
SLC10A2	ENSG00000125255	2	2	0	3	3	0	1.0	1.0	0.8135	0.6703
MME	ENSG00000196549	1	1	0	1	1	0	1.0	1.0	1.6124	1.6124
OXTR	ENSG00000180914	2	0	2	6	0	6	0.0	-1.0	-2.5581	-2.4832
CYP17A1	ENSG00000148795	1	1	0	2	2	0	1.0	1.0	2.2557	2.2557
CCR5	ENSG00000160791	1	1	0	8	8	0	1.0	1.0	1.09	1.0593
KEAP1	ENSG00000079999	1	0	1	25	0	25	0.0	-1.0	-0.8682	-0.737
KCNN4	ENSG00000104783	1	0	1	3	0	3	0.0	-1.0	-1.1209	-1.0478
TFPI	ENSG00000003436	1	1	0	4	4	0	1.0	1.0	1.102	1.0762
IL3RA	ENSG00000292332	1	1	0	1	1	0	1.0	1.0	1.6162	1.6162
EEF2	ENSG00000167658	1	1	0	1	1	0	1.0	1.0	1.6162	1.6162
PNLIP	ENSG00000175535	1	0	1	7	0	7	0.0	-1.0	-1.0664	-1.0333
DRD5	ENSG00000169676	1	1	0	1	1	0	1.0	1.0	1.2014	1.2014
LIPF	ENSG00000182333	1	0	1	7	0	7	0.0	-1.0	-1.0664	-1.0333
IFNG	ENSG00000111537	1	1	0	2	2	0	1.0	1.0	1.2331	1.2331
IFNA2	ENSG00000188379	1	0	1	1	0	1	0.0	-1.0	-1.4754	-1.4754
DIO1	ENSG00000211452	1	0	1	4	0	4	0.0	-1.0	-1.1588	-1.2034
IL6	ENSG00000136244	1	1	0	2	2	0	1.0	1.0	0.9527	0.9527
AHR	ENSG00000106546	1	0	1	1	0	1	0.0	-1.0	-1.3263	-1.3263
KRAS	ENSG00000133703	2	2	0	5	5	0	1.0	1.0	0.8947	0.9927
DRD1	ENSG00000184845	1	1	0	1	1	0	1.0	1.0	1.2014	1.2014
GAA	ENSG00000291507	1	1	0	2	2	0	1.0	1.0	0.727	0.727
MGAM2	ENSG00000278563	1	1	0	2	2	0	1.0	1.0	0.727	0.727
EPAS1	ENSG00000116016	1	1	0	3	3	0	1.0	1.0	0.7567	0.7513
ITGB3	ENSG00000259207	1	1	0	1	1	0	1.0	1.0	0.5769	0.5769
NFE2L2	ENSG00000116044	1	0	1	4	0	4	0.0	-1.0	-0.6671	-0.6528
LAMA4	ENSG00000112769	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
FN1	ENSG00000115414	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMA5	ENSG00000130702	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMB2	ENSG00000172037	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMA3	ENSG00000053747	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMB3	ENSG00000196878	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
SRD5A1	ENSG00000145545	2	2	0	6	6	0	1.0	1.0	2.5851	2.2557
SRD5A3	ENSG00000128039	2	2	0	6	6	0	1.0	1.0	2.5851	2.2557
LAMA2	ENSG00000196569	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMC2	ENSG00000058085	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMA1	ENSG00000101680	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMC1	ENSG00000135862	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMB4	ENSG00000091128	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
TACR3	ENSG00000169836	1	0	1	1	0	1	0.0	-1.0	-5.7443	-5.7443
LAMC3	ENSG00000050555	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
LAMB1	ENSG00000091136	1	1	0	2	2	0	1.0	1.0	0.5094	0.5094
C3	ENSG00000125730	1	0	1	1	0	1	0.0	-1.0	-0.5321	-0.5321
IDH1	ENSG00000138413	1	0	1	1	0	1	0.0	-1.0	-0.5213	-0.5213
ITGA2B	ENSG00000005961	1	1	0	1	1	0	1.0	1.0	0.5769	0.5769
TNNC1	ENSG00000114854	1	1	0	1	1	0	1.0	1.0	0.6064	0.6064
NAE1	ENSG00000159593	1	1	0	2	2	0	1.0	1.0	0.7507	0.7507
UBA3	ENSG00000144744	1	1	0	2	2	0	1.0	1.0	0.7507	0.7507
TSHR	ENSG00000165409	1	0	1	1	0	1	0.0	-1.0	-0.7693	-0.7693
RYR3	ENSG00000198838	1	1	0	1	1	0	1.0	1.0	0.7203	0.7203
RYR1	ENSG00000196218	1	1	0	1	1	0	1.0	1.0	0.7203	0.7203
SIGMAR1	ENSG00000147955	1	1	0	1	1	0	1.0	1.0	0.6482	0.6482
IL1RAP	ENSG00000196083	1	0	1	1	0	1	0.0	-1.0	-0.6455	-0.6455
IL1RL2	ENSG00000115598	1	0	1	1	0	1	0.0	-1.0	-0.6455	-0.6455
