id,name,soc
AE:Substance abuse,Substance abuse,Psychiatric disorders
AE:Aggression,Aggression,Psychiatric disorders
AE:Bradykinesia,Bradykinesia,Nervous system disorders
AE:Bradyphrenia,Bradyphrenia,Nervous system disorders
AE:Drug abuse,Drug abuse,Psychiatric disorders
AE:Drug dependence,Drug dependence,Psychiatric disorders
AE:Drug interaction,Drug interaction,"Injury, poisoning and procedural complications"
AE:Dysarthria,Dysarthria,Nervous system disorders
AE:Gait disturbance,Gait disturbance,General disorders and administration site conditions
AE:Miosis,Miosis,Nervous system disorders
AE:Somnolence,Somnolence,Nervous system disorders
AE:Abdominal distension,Abdominal distension,Gastrointestinal disorders
AE:Abdominal pain,Abdominal pain,Gastrointestinal disorders
AE:Anaemia,Anaemia,Blood and lymphatic system disorders
AE:Analgesic therapy,Analgesic therapy,General disorders and administration site conditions
AE:Appendicitis,Appendicitis,Gastrointestinal disorders
AE:Appendicolith,Appendicolith,Unclassified
AE:Ascites,Ascites,Hepatobiliary disorders
AE:Bacterial infection,Bacterial infection,Infections and infestations
AE:Blood cholesterol increased,Blood cholesterol increased,Investigations
AE:Blood phosphorus increased,Blood phosphorus increased,Investigations
AE:Blood uric acid increased,Blood uric acid increased,Investigations
AE:Cardiogenic shock,Cardiogenic shock,Cardiac disorders
AE:Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,"Respiratory, thoracic and mediastinal disorders"
AE:Chronic sinusitis,Chronic sinusitis,Infections and infestations
AE:Coma,Coma,Unclassified
AE:Condition aggravated,Condition aggravated,General disorders and administration site conditions
AE:Constipation,Constipation,Gastrointestinal disorders
AE:Death,Death,General disorders and administration site conditions
AE:Diabetes mellitus,Diabetes mellitus,Metabolism and nutrition disorders
AE:Drug hypersensitivity,Drug hypersensitivity,Unclassified
AE:Drug ineffective,Drug ineffective,General disorders and administration site conditions
AE:Drug intolerance,Drug intolerance,General disorders and administration site conditions
AE:Drug therapy,Drug therapy,General disorders and administration site conditions
AE:Drug-induced liver injury,Drug-induced liver injury,Hepatobiliary disorders
AE:Dry mouth,Dry mouth,Gastrointestinal disorders
AE:Dyspepsia,Dyspepsia,Gastrointestinal disorders
AE:Dyspnoea,Dyspnoea,"Respiratory, thoracic and mediastinal disorders"
AE:Gastrooesophageal reflux disease,Gastrooesophageal reflux disease,Unclassified
AE:General physical health deterioration,General physical health deterioration,General disorders and administration site conditions
AE:Hepatic cirrhosis,Hepatic cirrhosis,Hepatobiliary disorders
AE:Hepatic encephalopathy,Hepatic encephalopathy,Hepatobiliary disorders
AE:Hepatic necrosis,Hepatic necrosis,Hepatobiliary disorders
AE:Hepatotoxicity,Hepatotoxicity,Unclassified
AE:Hyperphosphataemia,Hyperphosphataemia,Unclassified
AE:Hyponatraemia,Hyponatraemia,Unclassified
AE:Hypophosphataemia,Hypophosphataemia,Unclassified
AE:Incorrect route of product administration,Incorrect route of product administration,Unclassified
AE:Infusion related reaction,Infusion related reaction,Immune system disorders
AE:Intentional product misuse,Intentional product misuse,Unclassified
AE:Iron deficiency,Iron deficiency,Blood and lymphatic system disorders
AE:Macular degeneration,Macular degeneration,Eye disorders
AE:Malaise,Malaise,General disorders and administration site conditions
AE:Multiple organ dysfunction syndrome,Multiple organ dysfunction syndrome,General disorders and administration site conditions
AE:Myasthenia gravis,Myasthenia gravis,Musculoskeletal and connective tissue disorders
AE:Nausea,Nausea,Gastrointestinal disorders
AE:Neuralgia,Neuralgia,Nervous system disorders
AE:Off label use,Off label use,General disorders and administration site conditions
AE:Pain,Pain,General disorders and administration site conditions
AE:Paraesthesia oral,Paraesthesia oral,Nervous system disorders
AE:Pneumonia aspiration,Pneumonia aspiration,Infections and infestations
AE:Procedural pain,Procedural pain,General disorders and administration site conditions
AE:Product use in unapproved indication,Product use in unapproved indication,Unclassified
AE:Pulmonary embolism,Pulmonary embolism,"Respiratory, thoracic and mediastinal disorders"
AE:Pyrexia,Pyrexia,General disorders and administration site conditions
AE:Sepsis,Sepsis,Infections and infestations
AE:Sleep disorder,Sleep disorder,Psychiatric disorders
AE:Sleep disorder therapy,Sleep disorder therapy,Psychiatric disorders
AE:Stress,Stress,Unclassified
AE:Swelling,Swelling,General disorders and administration site conditions
AE:Therapeutic product effect incomplete,Therapeutic product effect incomplete,Unclassified
AE:Thrombosis,Thrombosis,Vascular disorders
AE:Underdose,Underdose,General disorders and administration site conditions
AE:Ventricular fibrillation,Ventricular fibrillation,Cardiac disorders
AE:Vomiting,Vomiting,Gastrointestinal disorders
AE:Weight decreased,Weight decreased,Investigations
AE:Barrett's oesophagus,Barrett's oesophagus,Gastrointestinal disorders
AE:Brain natriuretic peptide increased,Brain natriuretic peptide increased,Investigations
AE:Cardiac disorder,Cardiac disorder,Cardiac disorders
AE:Chest discomfort,Chest discomfort,General disorders and administration site conditions
AE:Coronary artery disease,Coronary artery disease,Cardiac disorders
AE:Cough,Cough,"Respiratory, thoracic and mediastinal disorders"
AE:Dysphonia,Dysphonia,"Respiratory, thoracic and mediastinal disorders"
AE:Dyspnoea exertional,Dyspnoea exertional,"Respiratory, thoracic and mediastinal disorders"
AE:Eosinophilia,Eosinophilia,Unclassified
AE:Eructation,Eructation,Gastrointestinal disorders
AE:Fractional exhaled nitric oxide increased,Fractional exhaled nitric oxide increased,Investigations
AE:Hypersensitivity,Hypersensitivity,Unclassified
AE:Myoglobin blood increased,Myoglobin blood increased,Investigations
AE:Nasopharyngitis,Nasopharyngitis,Infections and infestations
AE:Neck pain,Neck pain,Musculoskeletal and connective tissue disorders
AE:Obstructive airways disorder,Obstructive airways disorder,Unclassified
AE:Obstructive sleep apnoea syndrome,Obstructive sleep apnoea syndrome,Psychiatric disorders
AE:Oropharyngeal discomfort,Oropharyngeal discomfort,"Respiratory, thoracic and mediastinal disorders"
AE:Plantar fasciitis,Plantar fasciitis,Musculoskeletal and connective tissue disorders
AE:Regurgitation,Regurgitation,Unclassified
AE:Secretion discharge,Secretion discharge,Unclassified
AE:Vitamin B12 deficiency,Vitamin B12 deficiency,Unclassified
AE:Wheezing,Wheezing,"Respiratory, thoracic and mediastinal disorders"
AE:Addison's disease,Addison's disease,Endocrine disorders
AE:Antineutrophil cytoplasmic antibody positive,Antineutrophil cytoplasmic antibody positive,Unclassified
AE:Anxiety,Anxiety,Psychiatric disorders
AE:Arteriosclerosis,Arteriosclerosis,Vascular disorders
AE:Arteriosclerosis coronary artery,Arteriosclerosis coronary artery,Cardiac disorders
AE:Asthma,Asthma,"Respiratory, thoracic and mediastinal disorders"
AE:Capillaritis,Capillaritis,Unclassified
AE:Colitis,Colitis,Gastrointestinal disorders
AE:Colitis ulcerative,Colitis ulcerative,Gastrointestinal disorders
AE:Conjunctivitis allergic,Conjunctivitis allergic,Unclassified
AE:Dust allergy,Dust allergy,Unclassified
AE:Eosinophilic granulomatosis with polyangiitis,Eosinophilic granulomatosis with polyangiitis,Unclassified
AE:Erythema,Erythema,Skin and subcutaneous tissue disorders
AE:Female genital tract fistula,Female genital tract fistula,Reproductive system and breast disorders
AE:Forced expiratory volume decreased,Forced expiratory volume decreased,Investigations
AE:Frequent bowel movements,Frequent bowel movements,Gastrointestinal disorders
AE:Full blood count abnormal,Full blood count abnormal,Blood and lymphatic system disorders
