drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc
(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE,CHEMBL3707204,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds"
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGANS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,Proteinase inhibitors
2-(4-CHLORPHENOXY)-ETHANOL,CHEMBL3707367,D01AE06,2-(4-chlorphenoxy)-ethanol,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use
4-DIMETHYLAMINOPHENOL,CHEMBL3707216,V03AB27,4-dimethylaminophenol,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes
ABACAVIR,CHEMBL1380,J05AF06,abacavir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
ABALOPARATIDE,CHEMBL3301581,H05AA04,abaloparatide,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues
ABAMETAPIR,CHEMBL2205807,P03AX07,abametapir,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AX,"Other ectoparasiticides, incl. scabicides"
ABARELIX,CHEMBL1252,L02BX01,abarelix,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX,Other hormone antagonists and related agents
ABATACEPT,CHEMBL1201823,L04AA24,abatacept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants
ABCIXIMAB,CHEMBL1201584,B01AC13,abciximab,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin
