kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:.ALPHA.1-PROTEINASE INHIBITOR HUMAN,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGANS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,Proteinase inhibitors,ChEMBL_36
DRUG:ABACAVIR,ABACAVIR,CHEMBL1380,J05AF06,abacavir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,ChEMBL_36
DRUG:ABALOPARATIDE,ABALOPARATIDE,CHEMBL3301581,H05AA04,abaloparatide,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05A,PARATHYROID HORMONES AND ANALOGUES,H05AA,Parathyroid hormones and analogues,ChEMBL_36
DRUG:ABATACEPT,ABATACEPT,CHEMBL1201823,L04AA24,abatacept,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants,ChEMBL_36
DRUG:ABCIXIMAB,ABCIXIMAB,CHEMBL1201584,B01AC13,abciximab,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,ChEMBL_36
DRUG:ABEMACICLIB,ABEMACICLIB,CHEMBL3301610,L01EF03,abemaciclib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EF,Cyclin-dependent kinase (CDK) inhibitors,ChEMBL_36
DRUG:ABIRATERONE,ABIRATERONE,CHEMBL254328,L02BX03,abiraterone,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,L02BX,Other hormone antagonists and related agents,ChEMBL_36
DRUG:ABROCITINIB,ABROCITINIB,CHEMBL3655081,D11AH08,abrocitinib,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11AH,"Agents for dermatitis, excluding corticosteroids",ChEMBL_36
DRUG:ACALABRUTINIB,ACALABRUTINIB,CHEMBL3707348,L01EL02,acalabrutinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,ChEMBL_36
DRUG:ACAMPROSATE,ACAMPROSATE,CHEMBL1201293,N07BB03,acamprosate,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07B,DRUGS USED IN ADDICTIVE DISORDERS,N07BB,Drugs used in alcohol dependence,ChEMBL_36
DRUG:ACARBOSE,ACARBOSE,CHEMBL404271,A10BF01,acarbose,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BF,Alpha glucosidase inhibitors,ChEMBL_36
DRUG:ACEBUTOLOL,ACEBUTOLOL,CHEMBL642,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",ChEMBL_36
DRUG:ACECLOFENAC,ACECLOFENAC,CHEMBL93645,M01AB16,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,ChEMBL_36
DRUG:ACECLOFENAC,ACECLOFENAC,CHEMBL93645,M02AA25,aceclofenac,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",ChEMBL_36
DRUG:ACEMETACIN,ACEMETACIN,CHEMBL189171,M01AB11,acemetacin,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,ChEMBL_36
DRUG:ACENOCOUMAROL,ACENOCOUMAROL,CHEMBL397420,B01AA07,acenocoumarol,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,ChEMBL_36
DRUG:ACEPROMAZINE,ACEPROMAZINE,CHEMBL39560,N05AA04,acepromazine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,Phenothiazines with aliphatic side-chain,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE51,"paracetamol, combinations excl. psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE01,paracetamol,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAMINOPHEN,ACETAMINOPHEN,CHEMBL112,N02BE71,"paracetamol, combinations with psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BE,Anilides,ChEMBL_36
DRUG:ACETAZOLAMIDE,ACETAZOLAMIDE,CHEMBL20,S01EC01,acetazolamide,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,Carbonic anhydrase inhibitors,ChEMBL_36
DRUG:ACETIC ACID,ACETIC ACID,CHEMBL539,S02AA10,acetic acid,S,SENSORY ORGANS,S02,OTOLOGICALS,S02A,ANTIINFECTIVES,S02AA,Antiinfectives,ChEMBL_36
DRUG:ACETIC ACID,ACETIC ACID,CHEMBL539,G01AD02,acetic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,Organic acids,ChEMBL_36
DRUG:ACETYLCARNITINE,ACETYLCARNITINE,CHEMBL1697733,N06BX12,acetylcarnitine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics,ChEMBL_36
DRUG:ACETYLCHOLINE,ACETYLCHOLINE,CHEMBL667,S01EB09,acetylcholine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,Parasympathomimetics,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,R05CB01,acetylcysteine,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,S01XA08,acetylcysteine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS,S01XA,Other ophthalmologicals,ChEMBL_36
DRUG:ACETYLCYSTEINE,ACETYLCYSTEINE,CHEMBL600,V03AB23,acetylcysteine,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,ChEMBL_36
