drug	n_signals	n_ae	n_trials	signal_rate
DRUG:PREDNISONE	926	3407	0	0.2717933665981802
DRUG:METHOTREXATE	892	3642	0	0.24492037342119716
DRUG:ADALIMUMAB	807	4508	0	0.1790150842945874
DRUG:RITUXIMAB	755	2822	0	0.2675407512402551
DRUG:INFLIXIMAB	623	2458	0	0.2534580960130187
DRUG:ETANERCEPT	618	3017	0	0.20483924428239975
DRUG:TACROLIMUS	572	2503	0	0.22852576907710748
DRUG:PREDNISOLONE	542	2396	0	0.2262103505843072
DRUG:DEXAMETHASONE	537	2343	0	0.22919334186939821
DRUG:METHYLPREDNISOLONE	521	2188	0	0.23811700182815357
DRUG:RISPERIDONE	518	1335	0	0.3880149812734082
DRUG:TOCILIZUMAB	508	2023	0	0.25111220958971825
DRUG:MYCOPHENOLIC ACID	507	2229	0	0.2274562584118439
DRUG:PANTOPRAZOLE	501	1973	0	0.25392802838317285
DRUG:CYCLOPHOSPHAMIDE	498	2375	0	0.20968421052631578
DRUG:OXYCODONE	492	1575	0	0.31238095238095237
DRUG:PARACETAMOL	487	2021	3	0.24096981692231567
DRUG:SECUKINUMAB	456	1899	0	0.2401263823064771
DRUG:MORPHINE	441	1605	0	0.27476635514018694
DRUG:ACETYLSALICYLIC ACID	433	2009	9	0.21553011448481832
DRUG:QUETIAPINE	426	1911	0	0.22291993720565148
DRUG:AMLODIPINE	422	1930	0	0.21865284974093263
DRUG:SALBUTAMOL	418	1727	0	0.24203821656050956
DRUG:CICLOSPORIN	409	1851	0	0.22096164235548352
DRUG:PREGABALIN	406	1969	0	0.20619603859827323
DRUG:DICLOFENAC	401	1586	0	0.25283732660781844
DRUG:METFORMIN	399	1941	0	0.20556414219474498
DRUG:ATORVASTATIN	388	1781	0	0.21785513756316677
DRUG:FUROSEMIDE	385	1578	0	0.24397972116603295
DRUG:ZOLEDRONIC ACID	376	1857	0	0.20247711362412493
DRUG:HYDROXYCHLOROQUINE	376	1556	0	0.2416452442159383
DRUG:IBUPROFEN	372	1893	0	0.196513470681458
DRUG:LEFLUNOMIDE	370	1561	0	0.2370275464445868
DRUG:RAMIPRIL	368	1481	0	0.24848075624577987
DRUG:TRAMADOL	360	1450	0	0.2482758620689655
DRUG:ABATACEPT	344	1672	0	0.20574162679425836
DRUG:CIPROFLOXACIN	342	1688	0	0.20260663507109006
DRUG:ARIPIPRAZOLE	342	1558	0	0.21951219512195122
DRUG:INSULIN	339	2008	24	0.1688247011952191
DRUG:VALPROIC ACID	339	1539	0	0.2202729044834308
DRUG:ROSUVASTATIN	337	1498	0	0.22496662216288385
DRUG:AZATHIOPRINE	337	1413	0	0.23849964614295824
DRUG:OLANZAPINE	336	1465	0	0.22935153583617748
DRUG:GOLIMUMAB	334	1277	0	0.2615505090054816
DRUG:GABAPENTIN	333	1632	0	0.20404411764705882
DRUG:TOFACITINIB	331	1894	0	0.1747624076029567
DRUG:NAPROXEN	331	1306	0	0.25344563552833077
DRUG:SULFAMETHOXAZOLE;TRIMETHOPRIM	327	1385	0	0.23610108303249097
DRUG:DOXORUBICIN	325	1564	0	0.2078005115089514
