pathway	total_drugs	sexdiff_drugs	total_signals	pathway_name	sexdiff_fraction
PATHWAY:R-HSA-9679191	423	111	10296	Potential therapeutics for SARS	0.2624113475177305
PATHWAY:R-HSA-416476	548	110	4800	G alpha (q) signalling events	0.20072992700729927
PATHWAY:R-HSA-6785807	448	99	9735	Interleukin-4 and Interleukin-13 signaling	0.22098214285714285
PATHWAY:R-HSA-418594	431	87	3813	G alpha (i) signalling events	0.20185614849187936
PATHWAY:R-HSA-418555	353	74	2956	G alpha (s) signalling events	0.2096317280453258
PATHWAY:R-HSA-4090294	328	69	4735	SUMOylation of intracellular receptors	0.21036585365853658
PATHWAY:R-HSA-383280	335	67	4725	Nuclear Receptor transcription pathway	0.2
PATHWAY:R-HSA-1257604	442	57	1543	PIP3 activates AKT signaling	0.12895927601809956
PATHWAY:R-HSA-6811558	465	57	1543	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	0.12258064516129032
PATHWAY:R-HSA-5673001	414	57	1398	RAF/MAP kinase cascade	0.13768115942028986
PATHWAY:R-HSA-3371497	256	56	5043	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	0.21875
PATHWAY:R-HSA-2219530	405	55	1541	Constitutive Signaling by Aberrant PI3K in Cancer	0.13580246913580246
PATHWAY:R-HSA-8856825	272	51	1669	Cargo recognition for clathrin-mediated endocytosis	0.1875
PATHWAY:R-HSA-8856828	273	51	1669	Clathrin-mediated endocytosis	0.18681318681318682
PATHWAY:R-HSA-6783783	191	49	5768	Interleukin-10 signaling	0.25654450261780104
PATHWAY:R-HSA-375276	219	45	2882	Peptide ligand-binding receptors	0.2054794520547945
PATHWAY:R-HSA-1236394	165	44	2229	Signaling by ERBB4	0.26666666666666666
PATHWAY:R-HSA-6798695	338	41	2930	Neutrophil degranulation	0.12130177514792899
PATHWAY:R-HSA-8939902	149	39	4506	Regulation of RUNX2 expression and activity	0.26174496644295303
PATHWAY:R-HSA-977443	75	35	2069	GABA receptor activation	0.4666666666666667
PATHWAY:R-HSA-9927418	252	34	985	Developmental Lineage of Mammary Gland Luminal Epithelial Cells	0.1349206349206349
PATHWAY:R-HSA-8866910	197	33	1224	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	0.16751269035532995
PATHWAY:R-HSA-9615017	93	33	3801	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	0.3548387096774194
PATHWAY:R-HSA-390651	108	32	2394	Dopamine receptors	0.2962962962962963
PATHWAY:R-HSA-8849473	77	32	3800	PTK6 Expression	0.4155844155844156
PATHWAY:R-HSA-9022699	170	32	1763	MECP2 regulates neuronal receptors and channels	0.18823529411764706
PATHWAY:R-HSA-5576892	114	31	2188	Phase 0 - rapid depolarisation	0.2719298245614035
PATHWAY:R-HSA-390666	130	31	2386	Serotonin receptors	0.23846153846153847
PATHWAY:R-HSA-9768777	75	30	3786	Regulation of NPAS4 gene transcription	0.4
PATHWAY:R-HSA-2162123	81	28	2269	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	0.345679012345679
PATHWAY:R-HSA-9027604	77	28	2269	Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives	0.36363636363636365
PATHWAY:R-HSA-9018677	75	28	2269	Biosynthesis of DHA-derived SPMs	0.37333333333333335
PATHWAY:R-HSA-9025094	74	28	2269	Biosynthesis of DPAn-3 SPMs	0.3783783783783784
PATHWAY:R-HSA-2142770	74	28	2269	Synthesis of 15-eicosatetraenoic acid derivatives	0.3783783783783784
PATHWAY:R-HSA-9018679	74	28	2269	Biosynthesis of EPA-derived SPMs	0.3783783783783784
PATHWAY:R-HSA-390696	143	28	1012	Adrenoceptors	0.1958041958041958
PATHWAY:R-HSA-114608	192	28	1476	Platelet degranulation 	0.14583333333333334
PATHWAY:R-HSA-9609690	182	25	1276	HCMV Early Events	0.13736263736263737
PATHWAY:R-HSA-442660	99	25	421	SLC-mediated transport of neurotransmitters	0.25252525252525254
PATHWAY:R-HSA-198933	123	24	702	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.1951219512195122
PATHWAY:R-HSA-9018519	203	23	541	Estrogen-dependent gene expression	0.11330049261083744
PATHWAY:R-HSA-5689880	160	23	652	Ub-specific processing proteases	0.14375
PATHWAY:R-HSA-9856649	98	22	943	Transcriptional and post-translational regulation of MITF-M expression and activity	0.22448979591836735
PATHWAY:R-HSA-400042	79	22	1412	Adrenaline,noradrenaline inhibits insulin secretion	0.27848101265822783
PATHWAY:R-HSA-445095	86	22	1297	Interaction between L1 and Ankyrins	0.2558139534883721
PATHWAY:R-HSA-390650	100	21	666	Histamine receptors	0.21
PATHWAY:R-HSA-9664422	100	21	578	FCGR3A-mediated phagocytosis	0.21
PATHWAY:R-HSA-1433557	136	21	435	Signaling by SCF-KIT	0.15441176470588236
PATHWAY:R-HSA-140180	60	21	1867	COX reactions	0.35
PATHWAY:R-HSA-2029482	103	20	567	Regulation of actin dynamics for phagocytic cup formation	0.1941747572815534
PATHWAY:R-HSA-9670439	115	20	430	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	0.17391304347826086
PATHWAY:R-HSA-1251985	182	20	357	Nuclear signaling by ERBB4	0.10989010989010989
PATHWAY:R-HSA-445144	152	20	588	Signal transduction by L1	0.13157894736842105
PATHWAY:R-HSA-9009391	247	20	568	Extra-nuclear estrogen signaling	0.08097165991902834
PATHWAY:R-HSA-9705671	100	20	1231	SARS-CoV-2 activates/modulates innate and adaptive immune responses	0.2
PATHWAY:R-HSA-5683826	80	20	700	Surfactant metabolism	0.25
PATHWAY:R-HSA-389948	87	19	900	Co-inhibition by PD-1	0.21839080459770116
PATHWAY:R-HSA-4420097	217	19	880	VEGFA-VEGFR2 Pathway	0.08755760368663594
PATHWAY:R-HSA-381426	113	19	847	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.168141592920354
PATHWAY:R-HSA-9656223	118	19	395	Signaling by RAF1 mutants	0.16101694915254236
PATHWAY:R-HSA-6802946	119	19	395	Signaling by moderate kinase activity BRAF mutants	0.15966386554621848
PATHWAY:R-HSA-6802955	119	19	395	Paradoxical activation of RAF signaling by kinase inactive BRAF	0.15966386554621848
PATHWAY:R-HSA-6802952	118	19	395	Signaling by BRAF and RAF1 fusions	0.16101694915254236
PATHWAY:R-HSA-9649948	119	19	395	Signaling downstream of RAS mutants	0.15966386554621848
PATHWAY:R-HSA-186797	68	18	476	Signaling by PDGF	0.2647058823529412
PATHWAY:R-HSA-9927426	142	18	418	Developmental Lineage of Mammary Gland Alveolar Cells	0.1267605633802817
PATHWAY:R-HSA-422356	65	18	1201	Regulation of insulin secretion	0.27692307692307694
PATHWAY:R-HSA-9665348	147	18	442	Signaling by ERBB2 ECD mutants	0.12244897959183673
PATHWAY:R-HSA-8940973	94	18	328	RUNX2 regulates osteoblast differentiation	0.19148936170212766
PATHWAY:R-HSA-111885	69	18	1413	Opioid Signalling	0.2608695652173913
PATHWAY:R-HSA-381340	111	18	2601	Transcriptional regulation of white adipocyte differentiation	0.16216216216216217
PATHWAY:R-HSA-1250196	122	18	449	SHC1 events in ERBB2 signaling	0.14754098360655737
PATHWAY:R-HSA-202040	69	18	1413	G-protein activation	0.2608695652173913
PATHWAY:R-HSA-9664565	158	18	442	Signaling by ERBB2 KD Mutants	0.11392405063291139
PATHWAY:R-HSA-9620244	135	18	535	Long-term potentiation	0.13333333333333333
PATHWAY:R-HSA-216083	143	17	771	Integrin cell surface interactions	0.11888111888111888
PATHWAY:R-HSA-1963640	106	17	431	GRB2 events in ERBB2 signaling	0.16037735849056603
PATHWAY:R-HSA-9634285	113	17	431	Constitutive Signaling by Overexpressed ERBB2	0.1504424778761062
PATHWAY:R-HSA-9833109	56	17	1035	Evasion by RSV of host interferon responses	0.30357142857142855
PATHWAY:R-HSA-5218921	110	17	830	VEGFR2 mediated cell proliferation	0.15454545454545454
PATHWAY:R-HSA-9927432	126	17	568	Developmental Lineage of Mammary Gland Myoepithelial Cells	0.1349206349206349
PATHWAY:R-HSA-983695	125	17	545	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0.136
PATHWAY:R-HSA-977606	58	17	573	Regulation of Complement cascade	0.29310344827586204
PATHWAY:R-HSA-1989781	110	17	525	PPARA activates gene expression	0.15454545454545454
PATHWAY:R-HSA-9665686	124	17	431	Signaling by ERBB2 TMD/JMD mutants	0.13709677419354838
PATHWAY:R-HSA-69205	54	16	2102	G1/S-Specific Transcription	0.2962962962962963
