protein	propagated_score	direct_score	degree	n_drugs	gene_symbol
PROTEIN:ENSP00000231509	3812.543424317618	3786.0	403	30	2908
PROTEIN:ENSP00000354859	2410.4208754208753	2352.0	297	31	1813
PROTEIN:ENSP00000437737	2409.378698224852	2303.0	169	24	3356
PROTEIN:ENSP00000398698	2395.7501601537474	2382.0	1561	4	7124
PROTEIN:ENSP00000356438	2292.3011049723755	2269.0	543	28	1.14.99.1
PROTEIN:ENSP00000427603	2267.85	2053.0	80	33	2555
PROTEIN:ENSP00000295454	2177.349315068493	2001.0	73	34	2560
PROTEIN:ENSP00000274545	2170.6220930232557	1985.0	86	32	2559
PROTEIN:ENSP00000264318	2166.7957746478874	1985.0	71	32	2557
PROTEIN:ENSP00000359337	2159.394366197183	1985.0	71	32	2556
PROTEIN:ENSP00000393097	2143.214285714286	2001.0	147	34	2554
PROTEIN:ENSP00000274547	2138.696581196581	1985.0	117	32	2561
PROTEIN:ENSP00000382953	2132.0098039215686	1985.0	102	32	2558
PROTEIN:ENSP00000308725	2114.3153846153846	1985.0	130	32	2562
PROTEIN:ENSP00000469332	2087.2333333333336	1824.0	45	31	55879
PROTEIN:ENSP00000479113	2023.6521739130435	1824.0	69	31	2567
PROTEIN:ENSP00000410732	1983.8576923076923	1840.0	130	33	2566
PROTEIN:ENSP00000354612	1910.1371428571429	1867.0	175	21	1.14.99.1
PROTEIN:ENSP00000266376	1854.459940652819	1810.0	337	22	775
PROTEIN:ENSP00000394624	1455.504081632653	1413.0	245	18	4988
PROTEIN:ENSP00000396320	1361.6919642857142	1282.0	112	19	6329
PROTEIN:ENSP00000276198	1314.951127819549	1230.0	133	13	3358
PROTEIN:ENSP00000496114	1313.6416666666667	1174.0	60	16	6332
PROTEIN:ENSP00000346534	1284.5344827586207	1174.0	145	16	6334
PROTEIN:ENSP00000283254	1282.7621951219512	1174.0	82	16	6328
PROTEIN:ENSP00000499569	1278.0301204819277	1174.0	83	16	11280
PROTEIN:ENSP00000303540	1266.8975	1174.0	200	16	6323
PROTEIN:ENSP00000490107	1265.6256157635469	1174.0	203	16	6326
PROTEIN:ENSP00000386306	1265.508	1174.0	125	16	6335
PROTEIN:ENSP00000328968	1257.8968609865472	1211.0	223	18	6331
PROTEIN:ENSP00000390600	1252.3848920863309	1174.0	139	16	6336
PROTEIN:ENSP00000396308	1246.7780172413793	1215.0	232	4	1.5.1.3
PROTEIN:ENSP00000335062	1130.3827160493827	1116.0	324	14	5133
PROTEIN:ENSP00000360423	1076.4226519337017	1008.0	181	5	774
PROTEIN:ENSP00000345096	979.2354838709678	966.0	155	4	1.1.1.205
PROTEIN:ENSP00000382982	974.5925925925926	892.0	81	11	7278
PROTEIN:ENSP00000383003	967.861216730038	929.0	263	5	2280
PROTEIN:ENSP00000355192	967.5811518324607	905.0	191	11	779
PROTEIN:ENSP00000456206	963.9408602150538	892.0	93	11	347688
PROTEIN:ENSP00000288139	961.9266666666666	905.0	225	11	776
PROTEIN:ENSP00000318197	950.8640350877193	892.0	114	11	112714
PROTEIN:ENSP00000326042	946.5569105691056	892.0	123	11	113457
PROTEIN:ENSP00000217133	939.2669172932331	892.0	133	11	81027
PROTEIN:ENSP00000259818	938.6	892.0	135	11	347733
PROTEIN:ENSP00000318697	934.7671232876712	892.0	146	11	84617
PROTEIN:ENSP00000264071	931.3563218390805	892.0	174	11	10382
PROTEIN:ENSP00000443475	926.729381443299	892.0	194	11	84790
PROTEIN:ENSP00000336799	926.3787234042553	892.0	235	11	10376
PROTEIN:ENSP00000369703	926.1041666666666	892.0	216	11	7280
