drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
PREDNISONE	926	650	276	70.194	926	1.080	0.868	4.828	519400	109150	628550	82.635
METHOTREXATE	892	433	459	48.543	892	0.967	0.815	4.745	581714	104561	686275	84.764
ADALIMUMAB	807	308	499	38.166	807	0.879	0.738	4.743	446574	92852	539426	82.787
RITUXIMAB	755	503	252	66.623	755	1.164	0.937	4.559	585249	98314	683563	85.617
INFLIXIMAB	623	314	309	50.401	623	1.089	0.861	4.365	449897	86422	536319	83.886
ETANERCEPT	618	263	355	42.557	618	0.984	0.812	4.613	458269	73135	531404	86.237
TACROLIMUS	572	434	138	75.874	572	0.879	0.786	2.939	37292	41166	78458	47.531
PREDNISOLONE	542	447	95	82.472	542	0.886	0.777	2.746	49323	26699	76022	64.880
DEXAMETHASONE	537	431	106	80.261	537	0.858	0.743	4.405	37307	31701	69008	54.062
METHYLPREDNISOLONE	521	402	119	77.159	521	1.156	0.926	3.881	150643	30442	181085	83.189
RISPERIDONE	518	481	37	92.857	518	1.168	1.026	4.578	52031	130270	182301	28.541
TOCILIZUMAB	508	251	257	49.409	508	1.186	1.025	3.859	497932	46941	544873	91.385
MYCOPHENOLIC ACID	507	387	120	76.331	507	1.112	0.887	3.676	113435	32653	146088	77.648
PANTOPRAZOLE	501	302	199	60.279	501	1.131	0.947	3.855	176744	47888	224632	78.682
CYCLOPHOSPHAMIDE	498	322	176	64.659	498	0.908	0.795	3.255	43272	29050	72322	59.832
OXYCODONE	492	418	74	84.959	492	1.332	0.943	5.496	276076	89835	365911	75.449
PARACETAMOL	487	277	210	56.879	487	1.176	0.924	3.914	270066	40334	310400	87.006
SECUKINUMAB	456	238	218	52.193	456	1.040	0.818	4.432	237441	46319	283760	83.677
MORPHINE	441	368	73	83.447	441	1.117	0.924	3.778	112230	47580	159810	70.227
ACETYLSALICYLIC ACID	433	316	117	72.979	433	0.983	0.856	2.801	46134	30086	76220	60.527
QUETIAPINE	426	270	156	63.380	426	1.024	0.899	3.082	82893	28600	111493	74.348
AMLODIPINE	422	213	209	50.474	422	0.961	0.832	3.600	40295	24224	64519	62.454
SALBUTAMOL	418	177	241	42.344	418	1.084	0.895	3.702	77515	41470	118985	65.147
CICLOSPORIN	409	202	207	49.389	409	0.900	0.805	2.761	51958	24203	76161	68.221
PREGABALIN	406	219	187	53.941	406	1.006	0.842	2.975	120035	34573	154608	77.638
DICLOFENAC	401	203	198	50.623	401	1.325	1.026	4.234	309171	34922	344093	89.851
METFORMIN	399	249	150	62.406	399	0.954	0.799	3.581	45646	24713	70359	64.876
ATORVASTATIN	388	180	208	46.392	388	0.957	0.793	3.323	38452	21663	60115	63.964
FUROSEMIDE	385	219	166	56.883	385	0.966	0.820	3.680	42278	27454	69732	60.629
ZOLEDRONIC ACID	376	99	277	26.330	376	0.852	0.771	2.807	42911	18012	60923	70.435
HYDROXYCHLOROQUINE	376	195	181	51.862	376	1.300	1.120	4.770	366656	34446	401102	91.412
IBUPROFEN	372	221	151	59.409	372	0.917	0.777	3.218	45970	19412	65382	70.310
LEFLUNOMIDE	370	155	215	41.892	370	1.310	1.090	4.389	338370	28251	366621	92.294
RAMIPRIL	368	262	106	71.196	368	1.209	0.940	3.702	96269	28208	124477	77.339
TRAMADOL	360	271	89	75.278	360	1.119	0.909	3.554	112992	27359	140351	80.507
ABATACEPT	344	155	189	45.058	344	1.342	1.115	4.465	356683	24416	381099	93.593
CIPROFLOXACIN	342	141	201	41.228	342	0.897	0.820	2.952	38629	19573	58202	66.371
ARIPIPRAZOLE	342	162	180	47.368	342	0.838	0.751	2.413	26399	21330	47729	55.310
INSULIN	339	134	205	39.528	339	0.852	0.691	2.984	31181	24189	55370	56.314
VALPROIC ACID	339	167	172	49.263	339	0.851	0.755	2.456	20141	21521	41662	48.344
ROSUVASTATIN	337	165	172	48.961	337	0.952	0.815	3.499	33560	23745	57305	58.564
AZATHIOPRINE	337	200	137	59.347	337	1.170	0.996	3.227	101033	22172	123205	82.004
OLANZAPINE	336	198	138	58.929	336	0.909	0.814	3.015	26550	24390	50940	52.120
GOLIMUMAB	334	186	148	55.689	334	1.376	1.139	4.810	359858	22734	382592	94.058
GABAPENTIN	333	116	217	34.835	333	1.011	0.839	3.813	26332	21875	48207	54.623
TOFACITINIB	331	170	161	51.360	331	1.045	0.895	3.504	293041	26047	319088	91.837
NAPROXEN	331	179	152	54.079	331	1.233	0.967	3.760	173500	26470	199970	86.763
SULFAMETHOXAZOLE;TRIMETHOPRIM	327	208	119	63.609	327	1.329	1.015	4.397	138392	25356	163748	84.515
DOXORUBICIN	325	232	93	71.385	325	0.895	0.802	2.707	24876	16156	41032	60.626
RANITIDINE	324	303	21	93.519	324	1.459	1.263	3.912	126012	119928	245940	51.237
LEVOTHYROXINE	322	66	256	20.497	322	1.144	0.990	3.914	67824	19901	87725	77.314
OMEPRAZOLE	319	173	146	54.232	319	0.895	0.771	2.776	44616	25990	70606	63.190
LAMOTRIGINE	319	139	180	43.574	319	0.987	0.898	2.669	55890	15846	71736	77.911
SULFASALAZINE	318	148	170	46.541	318	1.409	1.239	4.449	275983	24149	300132	91.954
USTEKINUMAB	314	204	110	64.968	314	1.329	0.982	4.077	214310	27809	242119	88.514
CERTOLIZUMAB	314	165	149	52.548	314	1.231	1.018	3.811	350422	22066	372488	94.076
HYDROMORPHONE	311	238	73	76.527	311	1.136	0.900	3.757	63808	34832	98640	64.688
CARBOPLATIN	310	197	113	63.548	310	0.844	0.761	1.805	31100	17018	48118	64.633
PEMBROLIZUMAB	309	226	83	73.139	309	0.866	0.803	2.317	24174	18537	42711	56.599
ESOMEPRAZOLE	308	186	122	60.390	308	0.914	0.791	2.550	58175	28186	86361	67.363
OMALIZUMAB	306	85	221	27.778	306	0.884	0.768	2.150	48519	18135	66654	72.792
