drug_name	adverse_event	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
HYDROXYPROGESTERONE	Abortion spontaneous	-6.45611994771499	2.616720406885335	1665.768284789644	105	12	117
MINOXIDIL	Adverse drug reaction	-6.447868373787949	0.18315965262457418	115.63877062342415	20	8460	8480
CARBIDOPA;LEVODOPA	Embedded device	-6.447123659548959	8.579351337025248	5412.584414737976	169	548	717
CARBIDOPA;LEVODOPA	Device expulsion	-6.411558803376324	0.355297756960602	216.320199330493	48	79	127
ETHINYLESTRADIOL;ETONOGESTREL	Medical device discomfort	-6.030045047468779	25.898189386085836	10766.75156555773	100	19	119
HYDROXYPROGESTERONE	Stillbirth	-5.540308462788479	20.500528853965385	5222.644419391207	71	52	123
VITAMIN B9	Abortion spontaneous	-5.505747965656598	2.815566646036291	692.9178864569084	99	14	113
INTRAUTERINE CONTRACEPTIVE DEVICE	Dyspareunia	-4.988827239907412	85.23305185799938	12509.160953177257	823	31	854
ALENDRONIC ACID	Vasculitis	-4.913095871825798	1.1505535757088325	156.54430493805896	16	139	155
VITAMIN D2	Nodule	-4.893533902536879	5.9903991566072055	799.26451584438	14	169	183
ALENDRONIC ACID	Eosinophilic granulomatosis with polyangiitis	-4.857251934154963	5.689759182632974	732.1020072989561	12	147	159
RIZATRIPTAN	Hyperhidrosis	-4.674945851296158	1.1710880340327987	125.57197643625265	13	255	268
ALENDRONIC ACID	Neuritis	-4.642166407272686	11.999848161963195	1245.2111635711833	21	141	162
RISPERIDONE	Emotional disorder	-4.577727249457449	1.5101469154039242	146.92675400438225	39	5735	5774
RISPERIDONE	Abnormal weight gain	-4.564312156651608	17.997184311143748	1727.667436569511	66	9346	9412
ETHINYLESTRADIOL;ETONOGESTREL	Medical device site discomfort	-4.548101229219121	234.1581450583771	22116.914348063285	159	14	173
ABATACEPT	Apparent death	-4.465441155522753	1.2757884233406693	110.94177501436336	22	282	304
ALENDRONIC ACID	Haemoptysis	-4.412939911470468	0.5161947402387868	42.59209745580033	15	153	168
DEXAMETHASONE	Complication of device insertion	-4.405197557456408	0.8474439664600346	69.38474282142026	65	70	135
LEFLUNOMIDE	Apparent death	-4.389138617699751	2.9067789911987503	234.2020513207162	22	289	311
BOTULINUM TOXIN	Sedation	-4.360015133243556	0.37405712387922435	29.273081618650547	20	262	282
VITAMIN D2	Vasculitis	-4.33734077527269	7.087340909643978	542.2087080182574	10	121	131
SULFASALAZINE	Apparent death	-4.30145325626399	3.9487237121950347	291.4433572415668	21	278	299
HYDROXYPROGESTERONE	Premature baby	-4.287320385065003	83.62097181748284	6085.1991490920145	732	810	1542
SODIUM PICOSULFATE	Abdominal distension	-4.280720492903933	4.240875082858457	306.58349367727993	10	181	191
CALCIUM	Nodule	-4.2056532861363864	1.833772685632587	122.98085682670454	14	144	158
SODIUM AUROTHIOMALATE	Pulmonary thrombosis	-4.135612535789364	10.85293037938122	678.610727399929	20	151	171
RUPATADINE	Condition aggravated	-4.123798717453676	1.2478593732982683	77.10963955438541	10	108	118
VITAMIN D2	Mycotic allergy	-4.10824433805479	152.63989732306564	9286.582292250758	16	143	159
SODIUM AUROTHIOMALATE	Apparent death	-4.0921914798331045	34.96472374904833	2093.3713682444645	20	150	170
HYDROXYCHLOROQUINE SULFATE	Apparent death	-4.063517666856617	8.470539517274018	492.8041684687468	13	124	137
GLUCOSE	Abdominal distension	-4.051133158862718	0.6897415869177567	39.634299628879134	10	234	244
SODIUM AUROTHIOMALATE	Pulmonary embolism	-4.0507904760935	1.6677364869256073	95.79953068781198	21	156	177
HYDROXYCHLOROQUINE	Apparent death	-4.026351507133033	2.302019525580759	129.0420473115975	17	225	242
ALMOTRIPTAN	Hyperhidrosis	-3.9968550816776816	12.444821084683317	677.330705882353	24	240	264
MISOPROSTOL	Maternal exposure during pregnancy	-3.98531632757958	8.192139495416317	440.75599543205175	207	33	240
VITAMIN A	Stress	-3.975933546142107	5.193724409025926	276.82474003488767	14	92	106
ABATACEPT	Onychoclasis	-3.9458607916763766	0.5452414229903993	28.200344304127174	25	84	109
INTRAUTERINE CONTRACEPTIVE DEVICE	Injury	-3.9449067611163144	2.4090649336056567	124.48004712129215	292	31	323
IRON	Blood cholesterol increased	-3.937068521698315	0.2613637649543997	13.399620895131768	10	109	119
CALCIUM	Vasculitis	-3.9333493210901747	2.6077960907537725	133.2004019890068	12	146	158
GOLD (198 AU)	Diverticulitis	-3.9299723703921012	6.915467907699043	352.03584360261675	32	144	176
CEFTRIAXONE	Stress	-3.8935619951784783	0.2268842725499286	11.13670924693779	10	232	242
MOXIFLOXACIN	Nodule	-3.887231855751287	1.7491410966109762	85.31554877243289	12	201	213
RISPERIDONE	Injury	-3.883899541735918	0.4809403887642533	23.380155179475622	29	2359	2388
FLUTICASONE;SALMETEROL	Nodule	-3.8761271237075237	0.6610504308481053	31.887113939628783	17	245	262
SODIUM BICARBONATE;SODIUM CHLORIDE	Chest discomfort	-3.8685879860895245	8.817373994074604	422.1294745373497	28	78	106
SODIUM CITRATE	Constipation	-3.859493193741729	0.1810227732246809	8.58795600391954	10	182	192
TOCILIZUMAB	Apparent death	-3.858574949250137	1.9590957542291185	92.85674843059753	25	279	304
CORTISONE	Pulmonary embolism	-3.8429738645181324	0.5451544842951902	25.439111116062477	17	99	116
CLOTRIMAZOLE	Pain in extremity	-3.824851532849353	0.5363869241042661	24.580465149039444	17	106	123
CALCIUM	Hypothyroidism	-3.8156492820651375	1.0081677421413504	45.77709462785719	16	140	156
ALMOTRIPTAN	Product use in unapproved indication	-3.8115667763044705	2.4669137312163496	111.55688544170734	10	176	186
MELATONIN	Abdominal distension	-3.7986081252869752	0.8375163625210733	37.38590071643698	10	221	231
CELECOXIB	Nightmare	-3.794122133607001	0.49994322541263536	22.217080777385064	19	265	284
SODIUM PICOSULFATE	Abdominal pain	-3.71990645101298	2.9846873090247104	123.14979233335603	15	174	189
ANAKINRA	Diverticulitis	-3.71322234560295	2.0647917813983043	84.62686206218451	23	322	345
SALBUTAMOL	Mycotic allergy	-3.702409744109332	10.530076812094132	426.9408012354172	19	219	238
SULFASALAZINE	Pulmonary thrombosis	-3.6909484976355973	1.3424327073322133	53.80852537796152	23	183	206
ESTRADIOL	Meningioma	-3.675190284606148	24.331642476861745	960.0332770163583	230	42	272
MELATONIN	Stress	-3.659188709691814	1.7466575288210757	67.82241111537414	17	217	234
SALBUTAMOL	Nodule	-3.652026418852465	0.5180620274663694	19.972695566296153	21	245	266
MAGNESIUM	Pulmonary embolism	-3.648637793423597	0.46440113105474806	17.84335553122922	11	184	195
SODIUM AUROTHIOMALATE	Haemoglobin decreased	-3.6422645796324957	1.0839209201669844	41.382145848473684	15	98	113
PETHIDINE	Product use in unapproved indication	-3.6417617652170886	0.321721372832864	12.276567393516013	17	189	206
BISACODYL	Dry mouth	-3.6395370253976176	0.9931845058955086	37.81471073277039	12	126	138
VITAMIN D3	Nodule	-3.6376165599813066	2.061470243596943	78.33825072327707	13	106	119
ESCITALOPRAM	Sleep disorder due to a general medical condition	-3.6241377612020553	0.7364903928869365	27.612779026002414	12	208	220
NEVIRAPINE	Abortion spontaneous	-3.615341494367956	18.110003481609947	673.0408044640782	103	11	114
SODIUM AUROTHIOMALATE	Renal failure	-3.6079607562094784	1.397503232233995	51.55493793569004	20	157	177
CEFALEXIN	Asthma	-3.6028147995410187	0.7429060816065014	27.265690484256695	21	151	172
CELECOXIB	Sedation	-3.594327711661567	0.6952989815322984	25.302782628315807	19	259	278
NORTRIPTYLINE	Nightmare	-3.5811966344008708	3.3616028174055295	120.7369876054027	17	268	285
LEFLUNOMIDE	Onychoclasis	-3.580883765237857	1.5429322721017593	55.399382307553545	31	82	113
METFORMIN	Abortion spontaneous	-3.580755692607997	1.5247276213400598	54.738728631462855	190	14	204
LEFLUNOMIDE	Tooth fracture	-3.569146739008205	0.7314880207101533	25.957804193068	20	84	104
PERTUZUMAB	Lymphocyte count decreased	-3.565539483802185	3.605757260813834	127.494253240364	68	58	126
CLOTRIMAZOLE	Dyspnoea	-3.5636406517124843	0.36342240408403875	12.825702663032082	19	126	145
DOXAZOSIN	Asthma	-3.5627661241000026	0.7843762259325818	27.65757443892836	12	357	369
LEFLUNOMIDE	Pulmonary thrombosis	-3.5617284949512293	1.1488400501366212	40.4667753716984	28	180	208
FLUTICASONE;SALMETEROL	Conjunctivitis allergic	-3.555642571831596	6.323318879087343	221.38135026531478	11	211	222
SODIUM BICARBONATE;SODIUM CHLORIDE	Cough	-3.5435241914312874	3.89121302096254	134.59161654174528	35	79	114
BETAMETHASONE	Hyponatraemia	-3.5415952798472956	0.9593709201926628	33.11935249531659	15	233	248
CALCITRIOL	Abdominal distension	-3.5401258504415565	2.007496728806515	69.20093594803909	12	208	220
CALCIUM	Hypoxia	-3.5377329886395428	0.9284893616341858	31.929700691972435	12	155	167
CALCIUM	Eosinophilic granulomatosis with polyangiitis	-3.530279855209361	20.147546218171716	687.7066460253457	14	165	179
PROGESTERONE	Foetal exposure during pregnancy	-3.5273863542808725	10.966560922402646	373.24576161511584	115	174	289
FORMOTEROL;MOMETASONE	Nodule	-3.523443310397975	3.8945476782103827	132.02890212981936	18	182	200
GLUCOSE	Constipation	-3.5185134492758365	0.42555040700441754	14.355621054702457	12	208	220
ABATACEPT	Chondropathy	-3.5108585949063613	1.751018019063181	58.618827822839485	26	92	118
ESCITALOPRAM	Systemic lupus erythematosus	-3.5085802349919955	0.6769904698239613	22.61203194943372	32	77	109
TRIAMCINOLONE	Nightmare	-3.479686288956522	0.6261417379911514	20.31801181070531	11	174	185
ONDANSETRON	Sedation	-3.474683830409303	0.8914582046977979	28.78306247502723	13	254	267
GOLD (198 AU)	Photosensitivity reaction	-3.4738765427679814	8.090572237998126	261.0145114831	20	86	106
SALBUTAMOL	Appendicitis	-3.4650695801980724	0.5626874108584622	17.99400334092206	11	230	241
SALBUTAMOL	Ascites	-3.461182446754589	0.18994735755041148	6.050701017667145	11	251	262
GLUCOSE	Swelling	-3.44857302813986	0.7892689014831612	24.826827560683526	12	125	137
DARBEPOETIN ALFA	Stress	-3.4478030505965656	0.16944219504887806	5.325782281396799	12	214	226
UMECLIDINIUM	Stress	-3.4422595570315697	1.1534648881064113	36.0544362986015	18	176	194
ALMOTRIPTAN	Off label use	-3.4344922881090967	1.3129685892539014	40.72258938641026	20	197	217
