adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Drug ineffective	501	501	189	312	37.725	0.916	0.769	4.489	478879
Off label use	445	445	226	219	50.787	1.015	0.794	5.744	273567
Condition aggravated	392	392	132	260	33.673	1.062	0.892	4.124	225783
Vomiting	362	362	177	185	48.895	1.003	0.851	3.290	221826
Dyspnoea	349	349	181	168	51.862	0.963	0.802	3.564	189619
Nausea	339	339	134	205	39.528	0.969	0.790	3.129	145978
Death	337	337	251	86	74.481	0.825	0.696	2.916	124140
Fatigue	332	332	220	112	66.265	1.035	0.892	3.830	373117
Headache	327	327	164	163	50.153	0.904	0.790	2.359	179949
Pain	327	327	227	100	69.419	1.086	0.909	4.015	436808
Pyrexia	322	322	221	101	68.634	1.009	0.807	3.832	180055
Hypertension	313	313	207	106	66.134	1.080	0.877	3.310	198744
Product use in unapproved indication	304	304	154	150	50.658	1.066	0.856	3.812	122369
Rash	301	301	221	80	73.422	1.071	0.850	3.441	307703
Drug hypersensitivity	299	299	138	161	46.154	1.113	0.886	3.433	167966
Diarrhoea	296	296	203	93	68.581	0.890	0.765	2.533	181123
Dizziness	289	289	160	129	55.363	0.885	0.781	2.861	135780
Hypersensitivity	281	281	133	148	47.331	1.059	0.851	3.427	237216
Drug intolerance	279	279	125	154	44.803	1.226	0.996	4.200	230592
Malaise	275	275	151	124	54.909	0.946	0.815	4.089	143283
Hypotension	274	274	222	52	81.022	0.901	0.771	2.842	56500
Acute kidney injury	267	267	191	76	71.536	0.805	0.734	2.122	48101
Pneumonia	267	267	195	72	73.034	1.112	0.874	2.947	145271
Asthenia	266	266	196	70	73.684	0.932	0.783	2.648	134878
Weight decreased	261	261	208	53	79.693	0.934	0.776	2.533	88087
Abdominal pain	261	261	121	140	46.360	1.013	0.824	3.720	75170
Anxiety	260	260	109	151	41.923	1.001	0.833	3.702	98583
Product use issue	256	256	143	113	55.859	1.235	0.915	4.631	162684
Toxicity to various agents	255	255	179	76	70.196	0.924	0.739	3.199	59113
Fall	250	250	147	103	58.800	0.921	0.767	3.271	89622
Constipation	246	246	138	108	56.098	1.109	0.942	3.859	64705
Pruritus	244	244	158	86	64.754	0.942	0.791	3.754	145308
Decreased appetite	243	243	188	55	77.366	0.963	0.779	3.070	109649
Drug interaction	243	243	195	48	80.247	0.834	0.708	2.293	41219
Anaemia	242	242	158	84	65.289	0.885	0.717	2.753	50977
Overdose	241	241	197	44	81.743	0.981	0.793	3.362	58920
General physical health deterioration	239	239	147	92	61.506	1.276	1.026	4.242	146830
Therapeutic product effect incomplete	238	238	110	128	46.218	1.136	0.911	3.303	85034
Arthralgia	238	238	137	101	57.563	0.936	0.799	3.413	192128
Weight increased	237	237	143	94	60.338	1.055	0.789	3.031	152081
Pain in extremity	235	235	78	157	33.191	0.974	0.781	3.825	86008
Confusional state	234	234	153	81	65.385	1.115	0.804	4.303	135492
Treatment failure	233	233	107	126	45.923	1.143	0.959	3.987	192589
