drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
PREDNISONE	926	650	276	0.5556650342550514	628550	70.2
METHOTREXATE	892	433	459	0.08145730764202759	686275	48.5
ADALIMUMAB	807	308	499	-0.12682991942724886	539426	38.2
RITUXIMAB	755	503	252	0.5723869565242797	683563	66.6
INFLIXIMAB	623	314	309	0.22466625102012786	536319	50.4
ETANERCEPT	618	263	355	-0.06451912483508192	531404	42.6
TACROLIMUS	572	434	138	0.4634178033999282	78458	75.9
PREDNISOLONE	542	447	95	0.6072363474757182	76022	82.5
DEXAMETHASONE	537	431	106	0.5446021702398532	69008	80.3
METHYLPREDNISOLONE	521	402	119	0.7814295449088157	181085	77.2
RISPERIDONE	518	481	37	0.940238454625238	182301	92.9
TOCILIZUMAB	508	251	257	0.09236443295447858	544873	49.4
MYCOPHENOLIC ACID	507	387	120	0.7114471099375266	146088	76.3
PANTOPRAZOLE	501	302	199	0.35820976840614654	224632	60.3
CYCLOPHOSPHAMIDE	498	322	176	0.2688401077231621	72322	64.7
OXYCODONE	492	418	74	1.0912548845241659	365911	85.0
PARACETAMOL	487	277	210	0.3363644893990718	310400	56.9
SECUKINUMAB	456	238	218	0.2756717513575224	283760	52.2
MORPHINE	441	368	73	0.8473125144515573	159810	83.4
ACETYLSALICYLIC ACID	433	316	117	0.4797595399997937	76220	73.0
QUETIAPINE	426	270	156	0.37006614092851037	111493	63.4
AMLODIPINE	422	213	209	0.009247351986837576	64519	50.5
SALBUTAMOL	418	177	241	-0.21905601054134055	118985	42.3
CICLOSPORIN	409	202	207	-0.009159470834303771	76161	49.4
PREGABALIN	406	219	187	0.1729727732401187	154608	53.9
DICLOFENAC	401	203	198	0.31926912243454986	344093	50.6
METFORMIN	399	249	150	0.24213419297411856	70359	62.4
ATORVASTATIN	388	180	208	0.026778792236475824	60115	46.4
FUROSEMIDE	385	219	166	0.13173111476821522	69732	56.9
ZOLEDRONIC ACID	376	99	277	-0.4637129955187212	60923	26.3
HYDROXYCHLOROQUINE	376	195	181	0.146057365605197	401102	51.9
IBUPROFEN	372	221	151	0.16920067471023958	65382	59.4
LEFLUNOMIDE	370	155	215	-0.22280303666099394	366621	41.9
RAMIPRIL	368	262	106	0.6754557173708065	124477	71.2
TRAMADOL	360	271	89	0.7216752668004304	140351	75.3
ABATACEPT	344	155	189	-0.1281925398571477	381099	45.1
CIPROFLOXACIN	342	141	201	-0.12434232540548829	58202	41.2
ARIPIPRAZOLE	342	162	180	-0.03724414615699542	47729	47.4
INSULIN	339	134	205	-0.21623053890949573	55370	39.5
VALPROIC ACID	339	167	172	-0.00727691643841012	41662	49.3
ROSUVASTATIN	337	165	172	-0.04863903775387929	57305	49.0
AZATHIOPRINE	337	200	137	0.3269148314056644	123205	59.3
OLANZAPINE	336	198	138	0.21378342186395555	50940	58.9
GOLIMUMAB	334	186	148	0.5111256702343474	382592	55.7
GABAPENTIN	333	116	217	-0.40932891845212055	48207	34.8
TOFACITINIB	331	170	161	0.09615473341745857	319088	51.4
NAPROXEN	331	179	152	0.3763739910158907	199970	54.1
SULFAMETHOXAZOLE;TRIMETHOPRIM	327	208	119	0.6850230256916126	163748	63.6
DOXORUBICIN	325	232	93	0.4280909721637222	41032	71.4
RANITIDINE	324	303	21	1.3390657487097775	245940	93.5
LEVOTHYROXINE	322	66	256	-0.8180979265378784	87725	20.5
OMEPRAZOLE	319	173	146	0.060375689369560594	70606	54.2
LAMOTRIGINE	319	139	180	-0.0489961476151447	71736	43.6
SULFASALAZINE	318	148	170	-0.1928657003284668	300132	46.5
USTEKINUMAB	314	204	110	0.7571148556141929	242119	65.0
CERTOLIZUMAB	314	165	149	0.2540258865764273	372488	52.5
HYDROMORPHONE	311	238	73	0.6542785280427313	98640	76.5
CARBOPLATIN	310	197	113	0.2469977213656279	48118	63.5
PEMBROLIZUMAB	309	226	83	0.420627433312201	42711	73.1
ESOMEPRAZOLE	308	186	122	0.17722824213040697	86361	60.4
OMALIZUMAB	306	85	221	-0.3874727238199228	66654	27.8
DOCETAXEL	304	34	270	-0.7538951542665937	87064	11.2
SERTRALINE	302	127	175	-0.17645684452838944	35781	42.1
HYDROCORTISONE	302	153	149	0.27855106952973113	165025	50.7
CLOPIDOGREL	300	247	53	0.6231647854719424	36411	82.3
LEUPRORELIN	294	205	89	0.4739094652682383	104017	69.7
BEVACIZUMAB	294	163	131	0.11843556847198332	39713	55.4
LENALIDOMIDE	292	174	118	0.1527528130379221	33331	59.6
FENTANYL	291	217	74	0.47379349889407796	48172	74.6
VINCRISTINE	290	221	69	0.49916975998753443	29950	76.2
DUPILUMAB	289	49	240	-0.5127681732252874	144936	17.0
VENLAFAXINE	287	117	170	-0.2002326272672418	38685	40.8
CLOZAPINE	287	197	90	0.3906601451736882	42825	68.6
CLONAZEPAM	285	177	108	0.2666266666702272	62433	62.1
IMMUNOGLOBULINS, UNSPECIFIED	284	159	125	0.0429266703007004	46707	56.0
ONDANSETRON	283	110	173	-0.29826064234762634	46773	38.9
MONTELUKAST	281	114	167	-0.1732376073705317	61638	40.6
MYCOPHENOLATE MOFETIL	277	225	52	0.5796512826819347	28183	81.2
APIXABAN	275	161	114	0.07494987436100979	37292	58.5
CELECOXIB	274	173	101	0.5047300242874416	168177	63.1
CYTARABINE	274	218	56	0.5558338038583213	28467	79.6
ETOPOSIDE	273	216	57	0.5395299569860746	26553	79.1
SILDENAFIL	272	238	34	0.9730874918533954	54634	87.5
BISOPROLOL	270	163	107	0.22371059816829245	34984	60.4
CAPECITABINE	270	155	115	0.10771967761662253	44041	57.4
OXYCODONE;PARACETAMOL	265	214	51	1.0690313593085365	139675	80.8
LORAZEPAM	264	165	99	0.202007650373677	42534	62.5
SIMVASTATIN	261	137	124	0.04468133602042928	33703	52.5
BUPRENORPHINE	261	141	120	0.22925006973830234	71932	54.0
BUDESONIDE	259	117	142	-0.1379160314836032	44534	45.2
PACLITAXEL	259	162	97	0.18934821127310866	48973	62.5
LEVETIRACETAM	258	117	141	-0.06530454725379924	27778	45.3
TADALAFIL	258	189	69	0.44565428712005545	56052	73.3
TIOTROPIUM	257	76	181	-0.47361080396949506	76403	29.6
MEPOLIZUMAB	254	123	131	-0.023564655079198926	77613	48.4
LEVOFLOXACIN	254	118	136	-0.13661242710127838	39461	46.5
FLUTICASONE;SALMETEROL	252	90	162	-0.34701410872177685	49152	35.7
LISINOPRIL	252	213	39	0.7208524657315382	54069	84.5
DIAZEPAM	250	191	59	0.5369307160270268	39413	76.4
VITAMIN B9	250	117	133	0.10877478654905197	227101	46.8
BUDESONIDE;FORMOTEROL	245	92	153	-0.3250136252593216	32661	37.6
METOPROLOL	244	131	113	0.08680272068112879	25521	53.7
CETIRIZINE	244	108	136	0.26132041876886974	231245	44.3
RIVAROXABAN	243	167	76	0.2723188690673603	40346	68.7
VITAMIN D3	242	111	131	-0.03614866123171613	91423	45.9
ALENDRONIC ACID	241	107	134	-0.2614541061034949	277606	44.4
LANSOPRAZOLE	240	138	102	0.11847852141787726	74500	57.5
EVEROLIMUS	239	121	118	0.0010337432210770188	36072	50.6
OXALIPLATIN	239	165	74	0.3564579084141812	27264	69.0
FLUOROURACIL	239	144	95	0.15853979227608903	28699	60.3
NIVOLUMAB	238	159	79	0.2989640141027489	32750	66.8
CITALOPRAM	237	134	103	0.08396415168692255	39874	56.5
ALPRAZOLAM	237	178	59	0.5000338258610004	49298	75.1
