drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
TESTOSTERONE	Prostatic disorder	8.869	25	21	7197.743	1.012	female_higher	8.869
PERTUZUMAB	Carbohydrate antigen 15-3 increased	-7.391	11	10	8.587	13927.369	male_higher	7.391
ETONOGESTREL	Foetal exposure during pregnancy	-6.568	30	40	0.257	183.262	male_higher	6.568
HYDROXYPROGESTERONE	Abortion spontaneous	-6.456	105	12	2.617	1665.768	male_higher	6.456
MINOXIDIL	Adverse drug reaction	-6.448	20	8460	0.183	115.639	male_higher	6.448
CARBIDOPA;LEVODOPA	Embedded device	-6.447	169	548	8.579	5412.584	male_higher	6.447
ETONOGESTREL	Premature baby	-6.421	18	23	0.451	277.374	male_higher	6.421
CARBIDOPA;LEVODOPA	Device expulsion	-6.412	48	79	0.355	216.320	male_higher	6.412
ETONOGESTREL	Injury associated with device	-6.327	40	15	0.545	305.185	male_higher	6.327
ETHINYLESTRADIOL;ETONOGESTREL	Medical device discomfort	-6.030	100	19	25.898	10766.752	male_higher	6.030
TRASTUZUMAB	Carbohydrate antigen 15-3 increased	-5.865	19	10	6.900	2431.299	male_higher	5.865
ESTRADIOL	Invasive ductal breast carcinoma	-5.865	42	10	5.371	1892.467	male_higher	5.865
VITAMIN B12	Abortion spontaneous	-5.858	24	11	2.970	1039.503	male_higher	5.858
FEZOLINETANT	Off label use	-5.744	65	16	1.090	340.433	male_higher	5.744
LABETALOL	Abortion spontaneous	-5.679	48	15	7.914	2315.894	male_higher	5.679
HISTRELIN	Device expulsion	-5.598	21	11	7.012	1892.553	male_higher	5.598
TAMOXIFEN	Carbohydrate antigen 15-3 increased	-5.562	44	10	90.822	23637.731	male_higher	5.562
HYDROXYPROGESTERONE	Stillbirth	-5.540	71	52	20.501	5222.644	male_higher	5.540
VITAMIN B9	Abortion spontaneous	-5.506	99	14	2.816	692.918	male_higher	5.506
OXYCODONE	Infusion related reaction	5.496	2523	10	11.610	0.048	female_higher	5.496
ETONOGESTREL	Accidental exposure to product	-5.491	33	10	0.106	25.619	male_higher	5.491
DESOXIMETASONE	Stress	-5.456	12	49	0.283	66.190	male_higher	5.456
CLOZAPINE	Gynaecomastia	5.448	11	31	26.719	0.115	female_higher	5.448
PERTUZUMAB	Oligohydramnios	-5.445	18	11	4.502	1042.911	male_higher	5.445
OXYCODONE	Pericarditis	5.396	2508	11	51.535	0.234	female_higher	5.396
DENOSUMAB	Peri-implantitis	-5.346	13	14	19.468	4084.794	male_higher	5.346
DUTASTERIDE	Product prescribing issue	5.089	120	12	566.635	3.494	female_higher	5.089
OXYCODONE	Blister	5.056	2917	19	14.536	0.093	female_higher	5.056
INTRAUTERINE CONTRACEPTIVE DEVICE	Dyspareunia	-4.989	823	31	85.233	12509.161	male_higher	4.989
LEVONORGESTREL	Foetal exposure during pregnancy	-4.946	23	10	0.237	33.390	male_higher	4.946
ALENDRONIC ACID	Vasculitis	-4.913	16	139	1.151	156.544	male_higher	4.913
VITAMIN D2	Nodule	-4.894	14	169	5.990	799.265	male_higher	4.894
ALENDRONIC ACID	Eosinophilic granulomatosis with polyangiitis	-4.857	12	147	5.690	732.102	male_higher	4.857
PREDNISONE	Duodenal ulcer perforation	4.828	3339	10	283.755	2.271	female_higher	4.828
GOLIMUMAB	Pericarditis	4.810	4061	11	177.329	1.445	female_higher	4.810
OXYCODONE	Impaired healing	4.808	2933	22	27.424	0.224	female_higher	4.808
DESOXIMETASONE	Pulmonary embolism	-4.795	10	47	0.275	33.279	male_higher	4.795
DOCETAXEL	Carbohydrate antigen 15-3 increased	-4.786	16	10	5.367	642.740	male_higher	4.786
HYDROXYCHLOROQUINE	Pericarditis	4.770	4069	10	215.816	1.831	female_higher	4.770
METHOTREXATE	Glossodynia	4.745	6104	14	60.672	0.528	female_higher	4.745
ADALIMUMAB	Pemphigus	4.743	6766	16	87.412	0.762	female_higher	4.743
PREDNISONE	Helicobacter infection	4.708	3295	12	132.405	1.195	female_higher	4.708
DESOXIMETASONE	COVID-19	-4.699	15	52	0.147	16.130	male_higher	4.699
RIZATRIPTAN	Hyperhidrosis	-4.675	13	255	1.171	125.572	male_higher	4.675
DESOXIMETASONE	Accidental overdose	-4.673	10	49	0.717	76.700	male_higher	4.673
ALENDRONIC ACID	Neuritis	-4.642	21	141	12.000	1245.211	male_higher	4.642
LOPINAVIR	Abortion spontaneous	-4.632	19	11	35.185	3615.784	male_higher	4.632
FLIBANSERIN	Product use issue	-4.631	23	28	1.295	132.810	male_higher	4.631
ETANERCEPT	Breast feeding	-4.613	11	11	0.470	47.351	male_higher	4.613
RISPERIDONE	Emotional disorder	-4.578	39	5735	1.510	146.927	male_higher	4.578
RISPERIDONE	Abnormal weight gain	-4.564	66	9346	17.997	1727.667	male_higher	4.564
RITUXIMAB	Prescribed overdose	4.559	1278	12	19.121	0.200	female_higher	4.559
ETHINYLESTRADIOL;ETONOGESTREL	Medical device site discomfort	-4.548	159	14	234.158	22116.914	male_higher	4.548
SIROLIMUS	Transplant dysfunction	4.505	452	17	2536.593	28.047	female_higher	4.505
INTRAUTERINE CONTRACEPTIVE DEVICE;LEVONORGESTREL	Low birth weight baby	-4.502	16	14	0.554	50.012	male_higher	4.502
XANTOFYL	Drug ineffective	4.489	362	33	353.258	3.967	female_higher	4.489
VITAMIN B9	Pericarditis	4.487	3491	12	756.313	8.508	female_higher	4.487
ABATACEPT	Apparent death	-4.465	22	282	1.276	110.942	male_higher	4.465
OXYCODONE	Wheezing	4.462	1532	18	6.830	0.079	female_higher	4.462
MINOXIDIL	Wrong patient received medication	4.460	1460	21	795.450	9.194	female_higher	4.460
SULFASALAZINE	Pericarditis	4.449	4104	12	317.735	3.714	female_higher	4.449
CETIRIZINE	Hepatic enzyme increased	4.433	3847	14	57.584	0.684	female_higher	4.433
SECUKINUMAB	Infusion related reaction	4.432	1982	11	7.368	0.088	female_higher	4.432
HYDROXYQUINOLINE	Joint swelling	-4.422	17	46	44.820	3732.459	male_higher	4.422
ALENDRONIC ACID	Haemoptysis	-4.413	15	153	0.516	42.592	male_higher	4.413
DESOXIMETASONE	Somnolence	-4.411	19	52	0.216	17.782	male_higher	4.411
CETIRIZINE	Arthropathy	4.410	4077	11	61.039	0.742	female_higher	4.410
DEXAMETHASONE	Complication of device insertion	-4.405	65	70	0.847	69.385	male_higher	4.405
VITAMIN B9	Wound	4.402	3728	12	350.274	4.290	female_higher	4.402
SULFAMETHOXAZOLE;TRIMETHOPRIM	Wound	4.397	1499	10	49.152	0.605	female_higher	4.397
PERTUZUMAB	SARS-CoV-2 test positive	-4.395	21	46	1.337	108.367	male_higher	4.395
LEFLUNOMIDE	Apparent death	-4.389	22	289	2.907	234.202	male_higher	4.389
ZIDOVUDINE	Abortion spontaneous	-4.389	50	11	7.971	642.125	male_higher	4.389
PREDNISONE	Glossodynia	4.384	6082	34	105.070	1.311	female_higher	4.384
METHOTREXATE	Pemphigus	4.371	6680	22	258.336	3.265	female_higher	4.371
INFLIXIMAB	Glossodynia	4.365	5962	25	91.328	1.161	female_higher	4.365
BOTULINUM TOXIN	Sedation	-4.360	20	262	0.374	29.273	male_higher	4.360
OXYCODONE	Wound	4.358	2434	27	22.664	0.290	female_higher	4.358
ALENDRONIC ACID	Conjunctivitis allergic	-4.357	10	81	6.389	498.372	male_higher	4.357
ETANERCEPT	Glossodynia	4.349	6286	15	24.232	0.313	female_higher	4.349
OXYCODONE;PARACETAMOL	Hepatic enzyme increased	4.346	1441	16	13.596	0.176	female_higher	4.346
VITAMIN D2	Vasculitis	-4.337	10	121	7.087	542.209	male_higher	4.337
RITUXIMAB	Obesity	4.335	1172	20	27.359	0.359	female_higher	4.335
OXYCODONE	Synovitis	4.316	2510	13	31.816	0.425	female_higher	4.316
GOLIMUMAB	Confusional state	4.303	2867	14	8.878	0.120	female_higher	4.303
SULFASALAZINE	Apparent death	-4.301	21	278	3.949	291.443	male_higher	4.301
