adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Drug ineffective	501	501	189	312	37.7
Off label use	445	445	226	219	50.8
Condition aggravated	392	392	132	260	33.7
Vomiting	362	362	177	185	48.9
Dyspnoea	349	349	181	168	51.9
Nausea	339	339	134	205	39.5
Death	337	337	251	86	74.5
Fatigue	332	332	220	112	66.3
Pain	327	327	227	100	69.4
Headache	327	327	164	163	50.2
Pyrexia	322	322	221	101	68.6
Hypertension	313	313	207	106	66.1
Product use in unapproved indication	304	304	154	150	50.7
Rash	301	301	221	80	73.4
Drug hypersensitivity	299	299	138	161	46.2
Diarrhoea	296	296	203	93	68.6
Dizziness	289	289	160	129	55.4
Hypersensitivity	281	281	133	148	47.3
Drug intolerance	279	279	125	154	44.8
Malaise	275	275	151	124	54.9
Hypotension	274	274	222	52	81.0
Pneumonia	267	267	195	72	73.0
Acute kidney injury	267	267	191	76	71.5
Asthenia	266	266	196	70	73.7
Weight decreased	261	261	208	53	79.7
Abdominal pain	261	261	121	140	46.4
Anxiety	260	260	109	151	41.9
Product use issue	256	256	143	113	55.9
Toxicity to various agents	255	255	179	76	70.2
Fall	250	250	147	103	58.8
Constipation	246	246	138	108	56.1
Pruritus	244	244	158	86	64.8
Decreased appetite	243	243	188	55	77.4
Drug interaction	243	243	195	48	80.2
Anaemia	242	242	158	84	65.3
Overdose	241	241	197	44	81.7
General physical health deterioration	239	239	147	92	61.5
Therapeutic product effect incomplete	238	238	110	128	46.2
Arthralgia	238	238	137	101	57.6
Weight increased	237	237	143	94	60.3
Pain in extremity	235	235	78	157	33.2
Confusional state	234	234	153	81	65.4
Treatment failure	233	233	107	126	45.9
Abdominal discomfort	229	229	143	86	62.4
Insomnia	224	224	105	119	46.9
Erythema	222	222	90	132	40.5
Cough	220	220	113	107	51.4
Urticaria	219	219	117	102	53.4
Asthma	217	217	102	115	47.0
Thrombocytopenia	217	217	172	45	79.3
Depression	214	214	120	94	56.1
Oedema peripheral	214	214	147	67	68.7
Somnolence	213	213	82	131	38.5
Sleep disorder	212	212	89	123	42.0
Cardiac arrest	210	210	178	32	84.8
Gastrointestinal disorder	209	209	123	86	58.9
Abdominal pain upper	209	209	135	74	64.6
Swelling	209	209	88	121	42.1
Adverse drug reaction	206	206	193	13	93.7
Musculoskeletal stiffness	206	206	97	109	47.1
Foetal exposure during pregnancy	203	203	132	71	65.0
Renal failure	202	202	159	43	78.7
Sepsis	202	202	98	104	48.5
Alopecia	198	198	64	134	32.3
Paraesthesia	197	197	80	117	40.6
Hypoaesthesia	197	197	96	101	48.7
Pulmonary embolism	196	196	44	152	22.4
Gait disturbance	193	193	95	98	49.2
Hyponatraemia	193	193	111	82	57.5
Respiratory failure	192	192	130	62	67.7
