drug_name	adverse_event	direction	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
MINOXIDIL	Adverse drug reaction	male_higher	-6.447868373787949	0.18315965262457418	115.63877062342415	20	8460	8480
OXYCODONE	Infusion related reaction	female_higher	5.49607360941596	11.609736242899936	0.04763299755065621	2523	10	2533
OXYCODONE	Pericarditis	female_higher	5.396185812256093	51.534832042590615	0.23365073061746147	2508	11	2519
OXYCODONE	Blister	female_higher	5.055572366021432	14.535847531612431	0.09264738751517432	2917	19	2936
PREDNISONE	Duodenal ulcer perforation	female_higher	4.827950638154627	283.75534336742595	2.2708671471864594	3339	10	3349
GOLIMUMAB	Pericarditis	female_higher	4.810226860461381	177.3290446920552	1.4445244338204362	4061	11	4072
OXYCODONE	Impaired healing	female_higher	4.808073222879093	27.424086962722992	0.22387856169532358	2933	22	2955
HYDROXYCHLOROQUINE	Pericarditis	female_higher	4.769659061626444	215.8158028478241	1.830824144486692	4069	10	4079
METHOTREXATE	Glossodynia	female_higher	4.744840614648506	60.67151337397821	0.5276266600313795	6104	14	6118
ADALIMUMAB	Pemphigus	female_higher	4.742840780858185	87.41229443242847	0.761698219206178	6766	16	6782
PREDNISONE	Helicobacter infection	female_higher	4.707873447732176	132.405447563103	1.1948197529564195	3295	12	3307
RISPERIDONE	Emotional disorder	male_higher	-4.577727249457449	1.5101469154039242	146.92675400438225	39	5735	5774
RISPERIDONE	Abnormal weight gain	male_higher	-4.564312156651608	17.997184311143748	1727.667436569511	66	9346	9412
RITUXIMAB	Prescribed overdose	female_higher	4.559055650143672	19.12117092984841	0.200235820747249	1278	12	1290
VITAMIN B9	Pericarditis	female_higher	4.4874408170897215	756.3131097375035	8.508065871982252	3491	12	3503
OXYCODONE	Wheezing	female_higher	4.462003340046337	6.829759446587097	0.07881011816888055	1532	18	1550
MINOXIDIL	Wrong patient received medication	female_higher	4.460326087507845	795.4500988428833	9.194284389709777	1460	21	1481
SULFASALAZINE	Pericarditis	female_higher	4.448979090470586	317.73482150594594	3.7144776023046018	4104	12	4116
CETIRIZINE	Hepatic enzyme increased	female_higher	4.432569067188	57.58370819238666	0.6843201718514779	3847	14	3861
SECUKINUMAB	Infusion related reaction	female_higher	4.432323886314812	7.367849636796762	0.08758040483405281	1982	11	1993
CETIRIZINE	Arthropathy	female_higher	4.410212081234197	61.03861618084325	0.7417779308271217	4077	11	4088
VITAMIN B9	Wound	female_higher	4.402479899195807	350.2743675657925	4.289786031220177	3728	12	3740
SULFAMETHOXAZOLE;TRIMETHOPRIM	Wound	female_higher	4.397371964752235	49.15243818312817	0.6050491936684781	1499	10	1509
PREDNISONE	Glossodynia	female_higher	4.383854726486452	105.07029953122964	1.310979960477835	6082	34	6116
METHOTREXATE	Pemphigus	female_higher	4.370921860017574	258.3361872315266	3.265261749954674	6680	22	6702
INFLIXIMAB	Glossodynia	female_higher	4.365145692995518	91.32761863146877	1.1610300126125446	5962	25	5987
OXYCODONE	Wound	female_higher	4.358493627600622	22.663691144235106	0.2900420133836332	2434	27	2461
ETANERCEPT	Glossodynia	female_higher	4.349408496657637	24.231984095168894	0.31294272910493304	6286	15	6301
OXYCODONE;PARACETAMOL	Hepatic enzyme increased	female_higher	4.345509184155896	13.59553593593179	0.17626483241201982	1441	16	1457
RITUXIMAB	Obesity	female_higher	4.334857675477055	27.35867718598779	0.3585009631422221	1172	20	1192
OXYCODONE	Synovitis	female_higher	4.315676223529395	31.816069145418783	0.4249835815990399	2510	13	2523
GOLIMUMAB	Confusional state	female_higher	4.302615856099923	8.878325332892011	0.12015137107316946	2867	14	2881
HYDROXYPROGESTERONE	Premature baby	male_higher	-4.287320385065003	83.62097181748284	6085.1991490920145	732	810	1542
CETIRIZINE	General physical health deterioration	female_higher	4.242432529375961	25.026016284010222	0.35968860993127155	2667	17	2684
SULFAMETHOXAZOLE;TRIMETHOPRIM	Discomfort	female_higher	4.240945359071558	19.128581852731827	0.27533638504902674	1299	10	1309
HYDROCORTISONE	Arthropathy	female_higher	4.240760691871515	51.63230190129952	0.7433314703872032	2102	10	2112
PREDNISONE	Irritable bowel syndrome	female_higher	4.23511061804969	31.009348517852544	0.4489598150886344	2539	13	2552
DICLOFENAC	Injury	female_higher	4.234388647238324	20.82709507886813	0.3017568071904906	2243	14	2257
LEFLUNOMIDE	Wound	female_higher	4.2264286341653765	107.0774947312372	1.5638084934439656	4919	13	4932
OXYCODONE;PARACETAMOL	Wound	female_higher	4.222798528156514	22.341850987744284	0.32747718756191146	1150	12	1162
CETIRIZINE	Joint swelling	female_higher	4.214645385851089	24.54980692842635	0.3627862736045319	3896	12	3908
HYDROXYCHLOROQUINE	Discomfort	female_higher	4.19084291800522	30.548882858902626	0.46231222674925776	3752	11	3763
HYDROCORTISONE	Joint swelling	female_higher	4.180675280437425	23.979265670925308	0.36659933634682507	2188	11	2199
OXYCODONE;PARACETAMOL	Joint swelling	female_higher	4.180333098010459	7.5766698947173285	0.11587313817409851	1795	17	1812
GOLIMUMAB	Ill-defined disorder	female_higher	4.168439082636502	27.89084521194442	0.4316498394440615	2626	11	2637
OXYCODONE	Sinusitis	female_higher	4.164298727376041	6.127160800670232	0.09521981202065537	2897	26	2923
LEFLUNOMIDE	Folliculitis	female_higher	4.160461219053649	313.39567103644606	4.889085628036174	3331	11	3342
CETIRIZINE	Contraindicated product administered	female_higher	4.147760916702745	113.18872882072368	1.7883540566117304	3885	14	3899
RITUXIMAB	Irritable bowel syndrome	female_higher	4.142286112765884	31.558646791135946	0.5013561786575748	2781	14	2795
LEFLUNOMIDE	Pericarditis	female_higher	4.131070158844316	237.97140980454984	3.8231717560533607	4329	16	4345
OXYCODONE	Hepatic enzyme increased	female_higher	4.118615026820804	10.921285694512338	0.17765686287165783	2569	41	2610
VITAMIN B9	Contraindicated product administered	female_higher	4.116622313401446	254.22453845279793	4.143726786012287	3453	11	3464
OXYCODONE	Psoriatic arthropathy	female_higher	4.100095719889065	9.677369479483511	0.16036455231455665	1623	24	1647
OXYCODONE;PARACETAMOL	Contusion	female_higher	4.096713043194876	7.901200321973794	0.13137514372588405	1369	16	1385
SULFAMETHOXAZOLE;TRIMETHOPRIM	Joint swelling	female_higher	4.0948540865301215	16.34159231772046	0.2722211333350666	2283	18	2301
HYDROCORTISONE	Impaired healing	female_higher	4.093096381622221	75.81627042272424	1.2651826984060426	1571	10	1581
HYDROXYCHLOROQUINE	Blister	female_higher	4.089273767743755	27.592073390122586	0.46220570767948094	2987	11	2998
GOLIMUMAB	Wound	female_higher	4.073743534721619	89.77897722875433	1.5274616518785018	4884	23	4907
GOLIMUMAB	Folliculitis	female_higher	4.064341178819264	214.4219229485221	3.6825465042061496	3028	15	3043
METHOTREXATE	Helicobacter infection	female_higher	4.050525988249729	90.56710680648641	1.5770643292949222	3538	16	3554
GOLIMUMAB	Discomfort	female_higher	4.020247754475494	26.88115700999114	0.48247691870872	3951	16	3967
PSEUDOEPHEDRINE	Pain	female_higher	4.014515419151405	23.92066918888652	0.4318087425553347	3790	12	3802
RITUXIMAB	Folliculitis	female_higher	4.011171646043361	102.26543884086159	1.852248170488349	2831	30	2861
RITUXIMAB	Pericarditis	female_higher	4.003075404820835	111.24265175123124	2.0312237874439787	4362	61	4423
SULFAMETHOXAZOLE;TRIMETHOPRIM	Infusion related reaction	female_higher	3.9975639797380795	29.35507298262332	0.5389682560208231	1724	20	1744
DICLOFENAC	Wound	female_higher	3.9874829702913073	92.66496067273002	1.7185955980837186	4390	34	4424
APREMILAST	Liver injury	female_higher	3.9708246605864597	12.7253259143873	0.239972610193811	1106	11	1117
RITUXIMAB	Injury	female_higher	3.9708001655773777	9.757755933300448	0.18401505272045757	2281	26	2307
PREDNISONE	Wound	female_higher	3.964377899293288	55.057084023288105	1.0449746628380823	4965	65	5030
PREDNISONE	Pericarditis	female_higher	3.963696089663096	123.9993378996068	2.355092809882467	4370	73	4443
