drug_name	adverse_event	log_ratio	n_female	n_male	direction	total_reports	abs_lr
ABATACEPT	Apparent death	-4.465	22	282	male_higher	304	4.465
LEFLUNOMIDE	Apparent death	-4.389	22	289	male_higher	311	4.389
SULFASALAZINE	Apparent death	-4.301	21	278	male_higher	299	4.301
SODIUM AUROTHIOMALATE	Apparent death	-4.092	20	150	male_higher	170	4.092
HYDROXYCHLOROQUINE SULFATE	Apparent death	-4.064	13	124	male_higher	137	4.064
SODIUM AUROTHIOMALATE	Pulmonary embolism	-4.051	21	156	male_higher	177	4.051
HYDROXYCHLOROQUINE	Apparent death	-4.026	17	225	male_higher	242	4.026
TOCILIZUMAB	Apparent death	-3.859	25	279	male_higher	304	3.859
CORTISONE	Pulmonary embolism	-3.843	17	99	male_higher	116	3.843
MAGNESIUM	Pulmonary embolism	-3.649	11	184	male_higher	195	3.649
SODIUM AUROTHIOMALATE	Renal failure	-3.608	20	157	male_higher	177	3.608
IRON	Ventricular fibrillation	-3.298	10	173	male_higher	183	3.298
HYDROXYCHLOROQUINE SULFATE	Pulmonary embolism	-3.290	31	139	male_higher	170	3.290
CHLORHEXIDINE	Anaphylactic reaction	-3.218	72	130	male_higher	202	3.218
ANAKINRA	Pulmonary embolism	-3.185	26	322	male_higher	348	3.185
METHOTREXATE	Apparent death	-3.163	27	269	male_higher	296	3.163
SODIUM CHLORIDE	Agranulocytosis	3.134	524	20	female_higher	544	3.134
ANAKINRA	Renal failure	-3.045	19	337	male_higher	356	3.045
SULFASALAZINE	Pulmonary embolism	-3.039	92	400	male_higher	492	3.039
INFLIXIMAB	Apparent death	-3.020	27	286	male_higher	313	3.020
HYDROXYCHLOROQUINE SULFATE	Renal failure	-3.013	26	145	male_higher	171	3.013
LEUPRORELIN	Death	-2.916	85	8312	male_higher	8397	2.916
METRONIDAZOLE	Ventricular fibrillation	-2.897	13	220	male_higher	233	2.897
CALCIUM	Pulmonary embolism	-2.889	37	187	male_higher	224	2.889
TRIPTORELIN	Death	-2.790	14	336	male_higher	350	2.790
ETANERCEPT	Apparent death	-2.786	62	296	male_higher	358	2.786
CANAKINUMAB	Renal failure	-2.770	14	286	male_higher	300	2.770
CEFUROXIME	Pulmonary embolism	-2.718	10	100	male_higher	110	2.718
BISACODYL	Ventricular fibrillation	-2.690	16	181	male_higher	197	2.690
CALCIUM	Ventricular fibrillation	-2.649	12	88	male_higher	100	2.649
SALBUTAMOL	Ventricular fibrillation	-2.605	15	204	male_higher	219	2.605
GOSERELIN	Death	-2.585	38	652	male_higher	690	2.585
BETAMETHASONE	Pulmonary embolism	-2.572	29	182	male_higher	211	2.572
RITUXIMAB	Apparent death	-2.521	35	268	male_higher	303	2.521
UMECLIDINIUM;VILANTEROL	Pulmonary embolism	-2.517	11	103	male_higher	114	2.517
AZATHIOPRINE	Anaphylactic reaction	2.506	311	12	female_higher	323	2.506
AZITHROMYCIN	Pulmonary embolism	-2.502	16	124	male_higher	140	2.502
LEFLUNOMIDE	Pulmonary embolism	-2.452	144	327	male_higher	471	2.452
SULFASALAZINE	Renal failure	-2.428	100	392	male_higher	492	2.428
FLUTICASONE;UMECLIDINIUM;VILANTEROL	Pulmonary embolism	-2.424	14	119	male_higher	133	2.424
