drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
ABATACEPT	Apparent death	male_higher	-4.465441155522753	22	282	304
LEFLUNOMIDE	Apparent death	male_higher	-4.389138617699751	22	289	311
SULFASALAZINE	Apparent death	male_higher	-4.30145325626399	21	278	299
LETROZOLE	Cardio-respiratory arrest	male_higher	-4.209615265030269	11	13	24
SODIUM AUROTHIOMALATE	Apparent death	male_higher	-4.0921914798331045	20	150	170
HYDROXYCHLOROQUINE SULFATE	Apparent death	male_higher	-4.063517666856617	13	124	137
HYDROXYCHLOROQUINE	Apparent death	male_higher	-4.026351507133033	17	225	242
TOCILIZUMAB	Apparent death	male_higher	-3.858574949250137	25	279	304
METHOTREXATE	Apparent death	male_higher	-3.16302223380099	27	269	296
ESTRADIOL	Completed suicide	male_higher	-3.1031086793487783	43	22	65
TOFACITINIB	Apparent death	male_higher	-3.096973016076798	13	76	89
INFLIXIMAB	Apparent death	male_higher	-3.0200049564017526	27	286	313
LEUPRORELIN	Death	male_higher	-2.916161511246779	85	8312	8397
RIBOCICLIB	Cardio-respiratory arrest	male_higher	-2.8514543278491504	40	15	55
TRIPTORELIN	Death	male_higher	-2.789709443225209	14	336	350
ETANERCEPT	Apparent death	male_higher	-2.785562865355502	62	296	358
VITAMIN C	Death	male_higher	-2.711880168774141	14	80	94
ISOPROPANOL	Completed suicide	male_higher	-2.6934578411337204	39	28	67
ISOPROPANOL	Death	male_higher	-2.6924875993435644	14	17	31
GOSERELIN	Death	male_higher	-2.584611522108382	38	652	690
RITUXIMAB	Apparent death	male_higher	-2.5207893159368506	35	268	303
TRIAMCINOLONE	Death	female_higher	2.3657431000289733	151	13	164
BETAMETHASONE	Death	male_higher	-2.357331433854303	15	131	146
DOMPERIDONE	Death	male_higher	-2.297075875874319	10	48	58
ADALIMUMAB	Apparent death	male_higher	-2.2693071019203463	80	324	404
CORTISONE	Death	male_higher	-2.117061053445966	17	32	49
CEFALEXIN	Death	male_higher	-2.005655243910341	11	51	62
AMIODARONE	Sudden death	female_higher	1.96156593601176	31	16	47
ECGONINE	Accidental death	female_higher	1.957618428269245	13	11	24
PSEUDOEPHEDRINE	Completed suicide	male_higher	-1.8889035160074685	36	36	72
FINGOLIMOD	Completed suicide	male_higher	-1.841945401192068	14	29	43
HYDROCHLOROTHIAZIDE;LOSARTAN	Completed suicide	male_higher	-1.7994253235873043	13	48	61
ADALIMUMAB	Completed suicide	male_higher	-1.7666795447427202	38	124	162
CICLESONIDE	Death	male_higher	-1.745307316554233	11	70	81
SILDENAFIL CITRATE	Death	female_higher	1.7316635664155289	102	56	158
CHLORPROMAZINE	Cardio-respiratory arrest	female_higher	1.6725894080066042	38	12	50
LABETALOL	Death	male_higher	-1.6633045039204035	11	45	56
RISPERIDONE	Completed suicide	female_higher	1.6489183102365472	632	391	1023
