drug_name	n_signals	pct_female	n_unique_aes	mean_abs_lr	total_reports	targets
PREDNISONE	926	70.194	926	1.080	628550	Glucocorticoid receptor
METHOTREXATE	892	48.543	892	0.967	686275	Dihydrofolate reductase
ADALIMUMAB	807	38.166	807	0.879	539426	Tumor necrosis factor
RITUXIMAB	755	66.623	755	1.164	683563	B-lymphocyte antigen CD20
INFLIXIMAB	623	50.401	623	1.089	536319	Tumor necrosis factor
ETANERCEPT	618	42.557	618	0.984	531404	Tumor necrosis factor
TACROLIMUS	572	75.874	572	0.879	78458	Peptidyl-prolyl cis-trans isomerase FKBP1A
PREDNISOLONE	542	82.472	542	0.886	76022	Glucocorticoid receptor
DEXAMETHASONE	537	80.261	537	0.858	69008	Glucocorticoid receptor
METHYLPREDNISOLONE	521	77.159	521	1.156	181085	Glucocorticoid receptor
RISPERIDONE	518	92.857	518	1.168	182301	5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D(2) dopamine receptor
TOCILIZUMAB	508	49.409	508	1.186	544873	Interleukin-6 receptor subunit alpha
MYCOPHENOLIC ACID	507	76.331	507	1.112	146088	Inosine-5'-monophosphate dehydrogenase (IMPDH)
OXYCODONE	492	84.959	492	1.332	365911	Mu-type opioid receptor
SECUKINUMAB	456	52.193	456	1.040	283760	Interleukin-17A
PREGABALIN	406	53.941	406	1.006	154608	Voltage-gated calcium channel
DICLOFENAC	401	50.623	401	1.325	344093	Cyclooxygenase
FUROSEMIDE	385	56.883	385	0.966	69732	Solute carrier family 12 member 1
ZOLEDRONIC ACID	376	26.330	376	0.852	60923	Farnesyl pyrophosphate synthase
IBUPROFEN	372	59.409	372	0.917	65382	Cyclooxygenase
LEFLUNOMIDE	370	41.892	370	1.310	366621	Dihydroorotate dehydrogenase (quinone), mitochondrial
RAMIPRIL	368	71.196	368	1.209	124477	Angiotensin-converting enzyme
ABATACEPT	344	45.058	344	1.342	381099	T-lymphocyte activation antigen CD80; T-lymphocyte activation antigen CD86
ARIPIPRAZOLE	342	47.368	342	0.838	47729	5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor
VALPROIC ACID	339	49.263	339	0.851	41662	Succinate-semialdehyde dehydrogenase, mitochondrial
AZATHIOPRINE	337	59.347	337	1.170	123205	Amidophosphoribosyltransferase
